Symbol	Frequency	FactorList	Factor	Value	UpdateDate
USD/EUR	D	EqRisk	MKT	-0.08912159356675	2016-03-12
USD/EUR	D	EqRisk	SMB	-0.000620853730445892	2016-03-12
USD/EUR	D	EqRisk	HML	-0.0372193409684424	2016-03-12
USD/EUR	D	EqRisk	MOM	-0.00357040823052401	2016-03-12
USD/EUR	D	EqRisk	VIX	-0.00802175625663608	2016-03-12
USD/EUR	D	EqRisk	OIL	-0.0335923363294046	2016-03-12
USD/EUR	D	EqRisk	GOLD	-0.14158387410278	2016-03-12
USD/EUR	D	EqRisk	R2	0.144805033439358	2016-03-12
USD/EUR	D	EqRisk	idioStd	0.00587037320980174	2016-03-12
USD/EUR	D	EqRisk	df	5.86838980187408	2016-03-12
USD/EUR	D	EqRisk	ncp	0	2016-03-12
USD/EUR	D	EqRisk	Scale	0.00476618999266587	2016-03-12
USD/EUR	M	EqRisk	MKT	-0.262986861000626	2016-03-12
USD/EUR	M	EqRisk	SMB	0.210850708366652	2016-03-12
USD/EUR	M	EqRisk	HML	-0.0740138350277582	2016-03-12
USD/EUR	M	EqRisk	MOM	0.0138953139440893	2016-03-12
USD/EUR	M	EqRisk	VIX	-0.00244292503160934	2016-03-12
USD/EUR	M	EqRisk	OIL	-0.0847372919040488	2016-03-12
USD/EUR	M	EqRisk	GOLD	-0.158321367553676	2016-03-12
USD/EUR	M	EqRisk	R2	0.400459964927058	2016-03-12
USD/EUR	M	EqRisk	idioStd	0.023513974867735	2016-03-12
USD/EUR	M	EqRisk	df	6.74760992536087	2016-03-12
USD/EUR	M	EqRisk	ncp	0	2016-03-12
USD/EUR	M	EqRisk	Scale	0.0197237087109959	2016-03-12
USD/EUR	M	FF9b	MKT	-0.267633132339676	2016-03-12
USD/EUR	M	FF9b	TERM	-0.443177973963922	2016-03-12
USD/EUR	M	FF9b	SMB	-0.0161232694648369	2016-03-12
USD/EUR	M	FF9b	HML	-0.144425688209265	2016-03-12
USD/EUR	M	FF9b	MOM	-0.041650498373726	2016-03-12
USD/EUR	M	FF9b	STRev	-0.00141780938703544	2016-03-12
USD/EUR	M	FF9b	LTRev	-0.019373859562527	2016-03-12
USD/EUR	M	FF9b	LIQ	-0.0258714191492133	2016-03-12
USD/EUR	M	FF9b	VIX	0.00412448333770139	2016-03-12
USD/EUR	M	FF9b	R2	0.208645705394533	2016-03-12
USD/EUR	M	FF9b	idioStd	0.0277397062286197	2016-03-12
USD/EUR	M	FF9b	df	Inf	2016-03-12
USD/EUR	M	FF9b	ncp	0	2016-03-12
USD/EUR	M	FF9b	Scale	0.0277397062286197	2016-03-12
USD/EUR	M	FF9	MKT	-0.238447602002745	2016-03-12
USD/EUR	M	FF9	TERM	-0.434143133616927	2016-03-12
USD/EUR	M	FF9	SMB	-0.00732090103353906	2016-03-12
USD/EUR	M	FF9	HML	-0.135629786239895	2016-03-12
USD/EUR	M	FF9	MOM	-0.0386900534763224	2016-03-12
USD/EUR	M	FF9	STRev	-0.00729252802035231	2016-03-12
USD/EUR	M	FF9	LTRev	-0.0242447209687562	2016-03-12
USD/EUR	M	FF9	LIQ	-0.00915245334349806	2016-03-12
USD/EUR	M	FF9	SPXVol	0.0111400979171231	2016-03-12
USD/EUR	M	FF9	R2	0.220228238914506	2016-03-12
USD/EUR	M	FF9	idioStd	0.0275359539949398	2016-03-12
USD/EUR	M	FF9	df	Inf	2016-03-12
USD/EUR	M	FF9	ncp	0	2016-03-12
USD/EUR	M	FF9	Scale	0.0275359539949398	2016-03-12
USD/EUR	M	FF8	MKT	-0.278901753212368	2016-03-12
USD/EUR	M	FF8	TERM	-0.441973140037025	2016-03-12
USD/EUR	M	FF8	SMB	-0.0173959608032901	2016-03-12
USD/EUR	M	FF8	HML	-0.145517941215948	2016-03-12
USD/EUR	M	FF8	MOM	-0.042871839467369	2016-03-12
USD/EUR	M	FF8	STRev	-0.00197248426280113	2016-03-12
USD/EUR	M	FF8	LTRev	-0.0161647830545661	2016-03-12
USD/EUR	M	FF8	LIQ	-0.0264717546531627	2016-03-12
USD/EUR	M	FF8	R2	0.208342919064607	2016-03-12
USD/EUR	M	FF8	idioStd	0.027745012575367	2016-03-12
USD/EUR	M	FF8	df	Inf	2016-03-12
USD/EUR	M	FF8	ncp	0	2016-03-12
USD/EUR	M	FF8	Scale	0.027745012575367	2016-03-12
USD/EUR	D	FF8a	MKT	-0.0557874437082601	2016-03-12
USD/EUR	D	FF8a	TERM	-0.109319320111532	2016-03-12
USD/EUR	D	FF8a	SMB	-0.0449063104516	2016-03-12
USD/EUR	D	FF8a	HML	-0.151393883779082	2016-03-12
USD/EUR	D	FF8a	MOM	-0.0255639835567648	2016-03-12
USD/EUR	D	FF8a	STRev	-0.021670404587597	2016-03-12
USD/EUR	D	FF8a	LTRev	0.0443801751371618	2016-03-12
USD/EUR	D	FF8a	VIX	-0.0028233883454318	2016-03-12
USD/EUR	D	FF8a	R2	0.0251753830818188	2016-03-12
USD/EUR	D	FF8a	idioStd	0.00630401514672623	2016-03-12
USD/EUR	D	FF8a	df	6.76262661441582	2016-03-12
USD/EUR	D	FF8a	ncp	0	2016-03-12
USD/EUR	D	FF8a	Scale	0.00529033057604258	2016-03-12
USD/EUR	M	FF8a	MKT	-0.241433035863803	2016-03-12
USD/EUR	M	FF8a	TERM	-0.306923467978708	2016-03-12
USD/EUR	M	FF8a	SMB	-0.000747369751449509	2016-03-12
USD/EUR	M	FF8a	HML	-0.146153758377415	2016-03-12
USD/EUR	M	FF8a	MOM	-0.0203339907657348	2016-03-12
USD/EUR	M	FF8a	STRev	-0.0152950674705424	2016-03-12
USD/EUR	M	FF8a	LTRev	-0.088810823141844	2016-03-12
USD/EUR	M	FF8a	VIX	0.00330340344545256	2016-03-12
USD/EUR	M	FF8a	R2	0.166585744277141	2016-03-12
USD/EUR	M	FF8a	idioStd	0.0272154565436036	2016-03-12
USD/EUR	M	FF8a	df	Inf	2016-03-12
USD/EUR	M	FF8a	ncp	0	2016-03-12
USD/EUR	M	FF8a	Scale	0.0272154565436036	2016-03-12
USD/EUR	D	FF7	MKT	-0.0438383744552486	2016-03-12
USD/EUR	D	FF7	TERM	-0.110855912232968	2016-03-12
USD/EUR	D	FF7	SMB	-0.0453694469756213	2016-03-12
USD/EUR	D	FF7	HML	-0.149954879120882	2016-03-12
USD/EUR	D	FF7	MOM	-0.022490804600366	2016-03-12
USD/EUR	D	FF7	STRev	-0.0219889432566789	2016-03-12
USD/EUR	D	FF7	LTRev	0.0452509641888839	2016-03-12
USD/EUR	D	FF7	R2	0.0248086635883883	2016-03-12
USD/EUR	D	FF7	idioStd	0.00630520078967283	2016-03-12
USD/EUR	D	FF7	df	6.7647363450261	2016-03-12
USD/EUR	D	FF7	ncp	0	2016-03-12
USD/EUR	D	FF7	Scale	0.00529167204915137	2016-03-12
USD/EUR	M	FF7	MKT	-0.252622020080162	2016-03-12
USD/EUR	M	FF7	TERM	-0.307077926547641	2016-03-12
USD/EUR	M	FF7	SMB	-0.000684920809393539	2016-03-12
USD/EUR	M	FF7	HML	-0.146663546777523	2016-03-12
USD/EUR	M	FF7	MOM	-0.021802780782978	2016-03-12
USD/EUR	M	FF7	STRev	-0.0152578149129114	2016-03-12
USD/EUR	M	FF7	LTRev	-0.0861105183176223	2016-03-12
USD/EUR	M	FF7	R2	0.166278649906721	2016-03-12
USD/EUR	M	FF7	idioStd	0.0272204702229774	2016-03-12
USD/EUR	M	FF7	df	Inf	2016-03-12
USD/EUR	M	FF7	ncp	0	2016-03-12
USD/EUR	M	FF7	Scale	0.0272204702229774	2016-03-12
USD/EUR	D	FF6	MKT	-0.0298444475063218	2016-03-12
USD/EUR	D	FF6	SMB	-0.0421216186314003	2016-03-12
USD/EUR	D	FF6	HML	-0.147269730174418	2016-03-12
USD/EUR	D	FF6	MOM	-0.0259310789746056	2016-03-12
USD/EUR	D	FF6	STRev	-0.0206166584744183	2016-03-12
USD/EUR	D	FF6	LTRev	0.0494466111076834	2016-03-12
USD/EUR	D	FF6	R2	0.0183825078731489	2016-03-12
USD/EUR	D	FF6	idioStd	0.00632301441896756	2016-03-12
USD/EUR	D	FF6	df	6.85277483600372	2016-03-12
USD/EUR	D	FF6	ncp	0	2016-03-12
USD/EUR	D	FF6	Scale	0.00532091120496031	2016-03-12
USD/EUR	M	FF6	MKT	-0.213175784426625	2016-03-12
USD/EUR	M	FF6	SMB	0.0178323297948776	2016-03-12
USD/EUR	M	FF6	HML	-0.141217606019171	2016-03-12
USD/EUR	M	FF6	MOM	-0.0361825308181	2016-03-12
USD/EUR	M	FF6	STRev	-0.0193623854974959	2016-03-12
USD/EUR	M	FF6	LTRev	-0.0836436548572491	2016-03-12
