Symbol	Alpha	Beta
EUO	-0.0258995402856026	1.58654489672675
CROC	-0.0499956585046698	1.71457193405779
SJP3.L	-0.0290927682692814	2.91968713381099
SDS	-0.0438596597290881	-1.98922024950597
SPY	0.0208279322991551	1.00077630656343
TNA	0.011220869915421	2.95494287961458
TZA	-0.079892189839445	-2.95319852551328
AGQ	-0.0216886680070018	1.97621949361653
ZSL	-0.0382470859856401	-1.96921769120323
SVXY	-0.0962096137299814	-1.0245923836739
TVIX	-0.127317210981985	1.8733192007098
UVXY	-0.0745253611138924	1.97010387040411
XIV	-0.094104470815064	-1.03174699486791
ERX	-0.0360268084924176	2.9745488103418
ERY	-0.0257410537073586	-2.97791818325642
FAS	0.0239519396389121	2.77062843251168
FAZ	-0.0822487975466815	-2.79997596841978
UWTI	-0.0937714251202599	2.95622361182551
