Date,SPComp,Dividends,Earnings,CPI,Rate GS10,RealSP500,RealDividends,RealEarnings,CAPE
1871.01,4.44,0.26,0.40,12.46,5.32,82.97,4.86,7.48,NA
1871.02,4.50,0.26,0.40,12.84,5.32,81.60,4.71,7.25,NA
1871.03,4.61,0.26,0.40,13.03,5.33,82.38,4.65,7.15,NA
1871.04,4.74,0.26,0.40,12.56,5.33,87.91,4.82,7.42,NA
1871.05,4.86,0.26,0.40,12.27,5.33,92.23,4.93,7.59,NA
1871.06,4.82,0.26,0.40,12.08,5.34,92.91,5.01,7.71,NA
1871.07,4.73,0.26,0.40,12.08,5.34,91.18,5.01,7.71,NA
1871.08,4.79,0.26,0.40,11.89,5.34,93.81,5.09,7.83,NA
1871.09,4.84,0.26,0.40,12.18,5.35,92.57,4.97,7.65,NA
1871.1,4.59,0.26,0.40,12.37,5.35,86.44,4.90,7.53,NA
1871.11,4.64,0.26,0.40,12.37,5.35,87.38,4.90,7.53,NA
1871.12,4.74,0.26,0.40,12.65,5.36,87.25,4.79,7.36,NA
1872.01,4.86,0.26,0.40,12.65,5.36,89.46,4.85,7.41,NA
1872.02,4.88,0.27,0.41,12.65,5.38,89.83,4.91,7.45,NA
1872.03,5.04,0.27,0.41,12.84,5.40,91.40,4.90,7.39,NA
1872.04,5.18,0.27,0.41,13.13,5.42,91.89,4.85,7.27,NA
1872.05,5.18,0.28,0.41,13.13,5.43,91.89,4.91,7.32,NA
1872.06,5.13,0.28,0.42,13.03,5.45,91.67,5.00,7.42,NA
1872.07,5.10,0.28,0.42,12.84,5.47,92.49,5.14,7.57,NA
1872.08,5.04,0.29,0.42,12.94,5.49,90.72,5.16,7.56,NA
1872.09,4.95,0.29,0.42,13.03,5.51,88.45,5.18,7.55,NA
1872.1,4.97,0.29,0.43,12.75,5.53,90.80,5.36,7.76,NA
1872.11,4.95,0.30,0.43,13.13,5.54,87.81,5.26,7.58,NA
1872.12,5.07,0.30,0.43,12.94,5.56,91.26,5.40,7.74,NA
1873.01,5.11,0.30,0.43,12.94,5.58,91.98,5.45,7.79,NA
1873.02,5.15,0.31,0.44,13.23,5.57,90.70,5.37,7.66,NA
1873.03,5.11,0.31,0.44,13.23,5.56,90.00,5.42,7.71,NA
1873.04,5.04,0.31,0.44,13.23,5.55,88.77,5.46,7.75,NA
1873.05,5.05,0.31,0.44,12.94,5.54,90.90,5.63,7.97,NA
1873.06,4.98,0.32,0.45,12.56,5.53,92.36,5.84,8.25,NA
1873.07,4.97,0.32,0.45,12.56,5.53,92.18,5.89,8.30,NA
1873.08,4.97,0.32,0.45,12.56,5.52,92.18,5.93,8.35,NA
1873.09,4.59,0.32,0.45,12.56,5.51,85.13,5.98,8.39,NA
1873.1,4.19,0.33,0.46,12.27,5.50,79.52,6.17,8.63,NA
1873.11,4.04,0.33,0.46,11.89,5.49,79.12,6.41,8.96,NA
1873.12,4.42,0.33,0.46,12.18,5.48,84.54,6.31,8.80,NA
1874.01,4.66,0.33,0.46,12.37,5.47,87.76,6.21,8.66,NA
1874.02,4.80,0.33,0.46,12.37,5.44,90.39,6.21,8.66,NA
1874.03,4.73,0.33,0.46,12.37,5.40,89.07,6.21,8.66,NA
1874.04,4.60,0.33,0.46,12.18,5.37,87.98,6.31,8.80,NA
1874.05,4.48,0.33,0.46,12.08,5.34,86.36,6.36,8.87,NA
1874.06,4.46,0.33,0.46,11.80,5.30,88.05,6.52,9.08,NA
1874.07,4.46,0.33,0.46,11.89,5.27,87.35,6.46,9.01,NA
1874.08,4.47,0.33,0.46,11.80,5.24,88.25,6.52,9.08,NA
1874.09,4.54,0.33,0.46,11.80,5.20,89.63,6.52,9.08,NA
1874.1,4.53,0.33,0.46,11.61,5.17,90.90,6.62,9.23,NA
1874.11,4.57,0.33,0.46,11.51,5.14,92.46,6.68,9.31,NA
1874.12,4.54,0.33,0.46,11.51,5.10,91.86,6.68,9.31,NA
1875.01,4.54,0.33,0.45,11.51,5.07,91.86,6.63,9.14,NA
1875.02,4.53,0.33,0.44,11.51,5.03,91.65,6.58,8.97,NA
