Trade_Date	Futures	Open	High	Low	Close	Settle	Change	Total_Volume	EFP	Open_Interest
2004-03-26	K (May 04)	21.24	21.25	20.27	20.27	20.32	0	216	0	144
2004-03-29	K (May 04)	19.9	19.99	19.75	19.77	19.8	0	52	0	113
2004-03-30	K (May 04)	19.86	20.04	19.61	19.61	19.62	-0.18	93	0	159
2004-03-31	K (May 04)	19.67	19.81	19.67	19.72	19.75	0.13	562	0	684
2004-04-01	K (May 04)	19.87	19.99	19.64	19.65	19.62	-0.13	84	0	708
2004-04-02	K (May 04)	19.47	19.47	18.84	18.98	18.89	-0.73	89	0	804
2004-04-05	K (May 04)	18.73	18.8	18.55	18.62	18.53	-0.36	84	0	839
2004-04-06	K (May 04)	18.57	18.89	18.57	18.76	18.79	0.26	304	0	1126
2004-04-07	K (May 04)	18.97	19.25	18.89	19.13	19.09	0.3	226	0	1325
2004-04-08	K (May 04)	18.95	19.15	18.95	19.01	19.05	-0.04	98	0	1485
2004-04-12	K (May 04)	18.78	18.78	18.7	18.7	18.67	-0.38	5	0	1486
2004-04-13	K (May 04)	19	19.31	18.89	19.31	19.3	0.63	25	0	1464
2004-04-14	K (May 04)	19.38	19.5	19.38	19.43	19.46	0.16	308	0	1589
2004-04-15	K (May 04)	19.33	19.44	19.26	19.26	19.35	-0.11	142	0	1667
2004-04-16	K (May 04)	19.18	19.19	19	19.01	19	-0.35	61	0	1718
2004-04-19	K (May 04)	19.1	19.14	18.85	18.85	18.87	-0.13	11	0	1723
2004-04-20	K (May 04)	18.87	19.11	18.65	19.11	19.15	0.28	125	0	1836
2004-04-21	K (May 04)	19.09	19.1	18.64	18.66	18.68	-0.47	11	0	1817
2004-04-22	K (May 04)	18.55	18.55	17.14	17.27	17.35	-1.33	95	0	1884
2004-04-23	K (May 04)	17.23	17.5	17.23	17.3	17.34	-0.01	601	0	1461
2004-04-26	K (May 04)	17.3	17.39	17.23	17.23	17.13	-0.21	246	0	1282
2004-04-27	K (May 04)	17.12	17.12	16.5	16.74	16.8	-0.33	87	0	1290
2004-04-28	K (May 04)	17.05	17.51	17	17.5	17.37	0.57	335	0	1108
2004-04-29	K (May 04)	17.23	17.91	17.23	17.8	17.77	0.4	274	0	1115
2004-04-30	K (May 04)	17.54	18.28	17.54	18.28	18.22	0.45	131	0	1018
2004-05-03	K (May 04)	18	18	17.8	17.8	17.69	-0.53	42	0	934
2004-05-04	K (May 04)	17.6	17.68	16.85	16.85	17.31	-0.38	36	0	930
2004-05-05	K (May 04)	17.04	17.05	16.6	16.6	16.62	-0.69	237	0	996
2004-05-06	K (May 04)	16.85	17.65	16.85	17.5	17.48	0.86	41	0	1034
2004-05-07	K (May 04)	17.54	18.14	17.12	18.14	18.31	0.83	136	0	1083
2004-05-10	K (May 04)	18.79	19.58	18.6	19.42	19.35	1.04	219	0	1198
2004-05-11	K (May 04)	18.9	18.9	18.33	18.43	18.38	-0.97	85	0	1109
2004-05-12	K (May 04)	18.31	19.4	18.31	18.49	18.2	-0.18	162	0	1166
2004-05-13	K (May 04)	18.31	19.4	18.31	18.49	18.38	0.18	99	0	1222
2004-05-14	K (May 04)	18.45	18.73	18.17	18.2	18.55	0.17	38	0	1228
2004-05-17	K (May 04)	19.17	19.5	18.9	19.44	19.37	0.82	207	0	1195
2004-05-18	K (May 04)	19.2	19.2	18.95	19.2	19.25	-0.12	41	0	1241
2004-05-19	K (May 04)	0	0	0	0	18.355	-0.895	0	0	1111
2004-03-26	M (Jun 04)	20.33	20.37	20.1	20.2	20.16	0	26	0	26
2004-03-29	M (Jun 04)	19.85	19.85	19.73	19.76	19.77	0	32	0	45
2004-03-30	M (Jun 04)	19.85	19.88	19.73	19.73	19.79	0.02	29	0	44
2004-03-31	M (Jun 04)	19.98	19.98	19.9	19.9	19.85	0.06	3	0	41
2004-04-01	M (Jun 04)	19.94	19.94	19.94	19.94	19.61	-0.24	1	0	41
2004-04-02	M (Jun 04)	19.51	19.51	19.2	19.25	19.16	-0.45	50	0	88
2004-04-05	M (Jun 04)	19	19	18.63	18.63	18.62	-0.54	48	0	134
2004-04-06	M (Jun 04)	18.82	18.86	18.7	18.7	18.79	0.17	18	0	181
2004-04-07	M (Jun 04)	18.95	19.22	18.95	19.22	19.12	0.33	10	0	188
2004-04-08	M (Jun 04)	19.25	19.25	19.02	19.02	19	-0.12	25	0	209
2004-04-12	M (Jun 04)	18.75	19.02	18.75	19.02	18.9	-0.1	2	0	209
2004-04-13	M (Jun 04)	18.85	19.31	18.85	19.3	19.29	0.39	57	0	222
2004-04-14	M (Jun 04)	19.3	19.6	19.3	19.58	19.47	0.18	10	0	163
2004-04-15	M (Jun 04)	19.57	19.57	19.49	19.5	19.47	0	29	0	190
2004-04-16	M (Jun 04)	19.51	19.56	19.36	19.36	19.43	-0.04	319	0	432
2004-04-19	M (Jun 04)	19.58	19.63	19.58	19.63	19.68	0.25	111	0	540
2004-04-20	M (Jun 04)	19.68	19.76	19.68	19.76	19.96	0.28	6	0	546
2004-04-21	M (Jun 04)	19.77	19.77	19.69	19.71	19.7	-0.26	14	0	558
2004-04-22	M (Jun 04)	19.61	19.61	18.64	18.64	18.77	-0.93	111	0	625
2004-04-23	M (Jun 04)	18.9	19.19	18.9	19.18	19.09	0.32	564	0	1169
2004-04-26	M (Jun 04)	19.13	19.14	18.99	19	18.96	-0.13	35	0	1187
2004-04-27	M (Jun 04)	18.95	18.95	18.76	18.76	18.77	-0.19	109	0	1200
2004-04-28	M (Jun 04)	18.98	19.4	18.98	19.21	19.27	0.5	354	0	1487
2004-04-29	M (Jun 04)	19.34	19.71	19.14	19.7	19.64	0.37	865	0	1707
2004-04-30	M (Jun 04)	19.47	19.77	19.35	19.72	19.85	0.21	43	0	1699
2004-05-03	M (Jun 04)	19.56	19.56	19.33	19.33	19.27	-0.58	34	0	1710
2004-05-04	M (Jun 04)	19.15	19.21	18.97	19.02	19.2	-0.07	67	0	1759
2004-05-05	M (Jun 04)	19.09	19.23	18.83	18.83	18.79	-0.41	116	0	1837
2004-05-06	M (Jun 04)	19	19.85	19	19.48	19.41	0.62	219	0	1888
2004-05-07	M (Jun 04)	19.51	19.85	19.25	19.85	19.87	0.46	141	0	1868
2004-05-10	M (Jun 04)	20.22	20.67	20.22	20.64	20.43	0.56	447	0	1857
2004-05-11	M (Jun 04)	20.2	20.25	19.87	19.9	19.97	-0.46	96	0	1843
2004-05-12	M (Jun 04)	19.8	20.79	19.57	19.6	19.61	-0.36	175	0	1491
2004-05-13	M (Jun 04)	19.8	20.79	19.57	19.6	19.58	-0.03	122	0	1551
2004-05-14	M (Jun 04)	19.33	19.82	19.32	19.75	19.67	0.09	37	0	1580
2004-05-17	M (Jun 04)	19.87	20.29	19.82	20.28	20.21	0.54	119	0	1631
2004-05-18	M (Jun 04)	19.96	20.09	19.96	20.09	20.07	-0.14	42	0	1676
2004-05-19	M (Jun 04)	19.6	19.64	18.74	19.17	19.17	-0.9	399	0	1868
2004-05-20	M (Jun 04)	19.06	19.31	18.99	19.28	19.34	0.17	84	0	1819
2004-05-21	M (Jun 04)	19.32	19.33	19.1	19.1	19.17	-0.17	84	0	1875
2004-05-24	M (Jun 04)	18.61	19	18.6	18.8	18.77	-0.4	817	0	1241
2004-05-25	M (Jun 04)	18.9	18.9	17.44	17.52	17.5	-1.27	398	0	1262
2004-05-26	M (Jun 04)	17.6	17.75	17.53	17.59	17.61	0.11	246	0	1423
2004-05-27	M (Jun 04)	17.46	17.6	17.29	17.4	17.35	-0.26	324	0	1574
2004-05-28	M (Jun 04)	17.55	17.65	17.55	17.57	17.58	0.23	42	0	1609
2004-06-01	M (Jun 04)	17.6	17.62	17.55	17.62	17.6	0.02	64	0	1671
2004-06-02	M (Jun 04)	17.64	17.65	17.6	17.61	17.65	0.05	110	0	1776
2004-06-03	M (Jun 04)	17.6	17.7	17.43	17.6	17.6	-0.05	289	0	1763
2004-06-04	M (Jun 04)	17.46	17.46	17.02	17.19	17.28	-0.32	152	0	1822
2004-06-07	M (Jun 04)	17.1	17.16	16.56	16.64	16.58	-0.7	339	0	2143
2004-06-08	M (Jun 04)	16.85	16.86	16.15	16.21	16.18	-0.4	462	0	2452
2004-06-09	M (Jun 04)	16.27	16.29	15.86	16.29	16.2	0.02	133	0	2495
2004-06-10	M (Jun 04)	16.14	16.14	15.61	15.8	15.71	-0.49	616	0	2418
2004-06-14	M (Jun 04)	16.14	16.14	15.61	15.8	15.71	0	0	0	2430
2004-06-15	M (Jun 04)	15.66	15.66	14.8	15.02	15.03	-1.26	490	0	2541
2004-06-16	M (Jun 04)	0	0	0	0	13.997	-1.033	0	0	2541
2004-05-21	N (Jul 04)	0	0	0	0	0	-0.15	0	0	0
2004-05-24	N (Jul 04)	19.08	19.11	19.08	19.11	19.04	19.04	765	0	765
2004-05-25	N (Jul 04)	18.75	18.75	18.38	18.38	18	-1.04	265	0	1015
2004-05-26	N (Jul 04)	18.15	18.2	18.15	18.2	18.09	0.09	2	0	1017
2004-05-27	N (Jul 04)	18.18	18.2	18	18	17.9	-0.19	18	0	1035
2004-05-28	N (Jul 04)	18.05	18.1	18.04	18.04	18.06	0.16	45	0	1080
2004-06-01	N (Jul 04)	18.23	18.27	18.23	18.25	18.16	0.1	21	0	1100
2004-06-02	N (Jul 04)	18.2	18.27	18.15	18.15	18.1	-0.06	18	0	1116
2004-06-03	N (Jul 04)	0	0	0	0	18.33	0.23	0	0	1116
2004-06-04	N (Jul 04)	18.22	18.58	18.06	18.34	18.51	0.18	181	0	1287
2004-06-07	N (Jul 04)	18.34	18.34	18.1	18.1	18.07	-0.44	4	0	1289
2004-06-08	N (Jul 04)	18.28	18.3	17.69	17.89	17.73	-0.34	145	0	1431
2004-06-09	N (Jul 04)	17.55	17.95	17.2	17.95	17.86	0.13	128	0	1556
2004-06-10	N (Jul 04)	17.74	17.87	17.6	17.6	17.57	-0.29	633	0	2100
2004-06-14	N (Jul 04)	17.74	17.87	17.6	17.6	17.57	0	0	0	2100
2004-06-15	N (Jul 04)	17.5	17.5	17.05	17.31	17.23	-0.7	238	0	2057
2004-06-16	N (Jul 04)	17.17	17.23	17	17.15	17.1	-0.13	186	0	2127
2004-06-17	N (Jul 04)	17.25	17.34	17.11	17.15	17.14	0.04	488	0	2182
2004-06-18	N (Jul 04)	17.15	17.15	16.84	16.94	17	-0.14	50	0	2237
2004-06-21	N (Jul 04)	17	17.2	17	17.2	17.26	0.26	3	0	2334
2004-06-22	N (Jul 04)	17.26	17.36	16.8	16.8	16.77	-0.49	127	0	2216
2004-06-23	N (Jul 04)	16.82	16.88	15.47	15.8	15.79	-0.98	215	0	2452
2004-06-24	N (Jul 04)	15.96	16.06	15.9	16.06	16.02	0.23	41	0	2470
2004-06-25	N (Jul 04)	16.02	16.1	15.97	16.05	16.23	0.21	16	0	2470
2004-06-28	N (Jul 04)	16.2	16.34	16.2	16.34	16.37	0.14	58	0	2514
2004-06-29	N (Jul 04)	16.31	16.31	16	16	15.98	-0.39	93	0	2583
2004-06-30	N (Jul 04)	15.95	16	15.3	15.3	15.38	-0.6	206	0	2728
2004-07-01	N (Jul 04)	15.4	15.84	15.2	15.58	15.67	0.29	99	0	2708
2004-07-02	N (Jul 04)	15.5	15.7	15.45	15.7	15.56	-0.11	15	0	2718
2004-07-06	N (Jul 04)	15.91	16.33	15.85	16.06	16.22	0.66	322	0	2857
2004-07-07	N (Jul 04)	16.31	16.31	15.54	15.7	15.67	-0.55	222	0	2989
2004-07-08	N (Jul 04)	16.01	16.01	15.59	15.96	15.94	0.27	130	0	2967
2004-07-09	N (Jul 04)	15.65	15.8	15.6	15.8	15.74	-0.2	88	0	3019
2004-07-12	N (Jul 04)	15.69	15.75	14.97	15.07	15.09	-0.65	1133	0	2166
2004-07-13	N (Jul 04)	14.94	14.94	14.2	14.3	14.31	-0.78	758	0	1788
2004-07-14	N (Jul 04)	0	0	0	0	13.134	-1.176	0	0	1732
2004-03-26	Q (Aug 04)	20.04	20.13	20	20.06	20.11	0	37	0	37
2004-03-29	Q (Aug 04)	19.76	19.76	19.76	19.76	19.68	0	1	0	38
2004-03-30	Q (Aug 04)	19.72	19.97	19.72	19.92	19.91	0.23	56	0	90
2004-03-31	Q (Aug 04)	20.06	20.18	20.06	20.18	20.15	0.24	29	0	113
2004-04-01	Q (Aug 04)	20.28	20.28	20.28	20.28	20.2	0.05	1	0	114
2004-04-02	Q (Aug 04)	20.01	20.06	19.94	20.06	20.05	-0.15	23	0	135
2004-04-05	Q (Aug 04)	0	0	0	0	19.97	-0.08	0	0	133
2004-04-06	Q (Aug 04)	20.25	20.33	20.25	20.33	20.28	0.31	18	0	151
2004-04-07	Q (Aug 04)	20.6	20.67	20.55	20.55	20.54	0.26	3	0	154
2004-04-08	Q (Aug 04)	20.67	20.67	20.55	20.6	20.51	-0.03	16	0	150
2004-04-12	Q (Aug 04)	0	0	0	0	20.34	-0.17	0	0	150
2004-04-13	Q (Aug 04)	0	0	0	0	20.74	0.4	0	0	150
2004-04-14	Q (Aug 04)	20.7	20.7	20.51	20.51	20.27	-0.47	35	0	164
2004-04-15	Q (Aug 04)	20.21	20.43	20.21	20.43	20.43	0.16	167	0	306
2004-04-16	Q (Aug 04)	20.3	20.3	20.15	20.3	20.26	-0.17	21	0	314
2004-04-19	Q (Aug 04)	0	0	0	0	20.37	0.11	0	0	314
2004-04-20	Q (Aug 04)	20.4	20.48	20.28	20.48	20.52	0.15	31	0	344
2004-04-21	Q (Aug 04)	0	0	0	0	20.22	-0.3	0	0	335
2004-04-22	Q (Aug 04)	20.21	20.24	19.53	19.53	19.67	-0.55	26	0	350
2004-04-23	Q (Aug 04)	19.74	19.86	19.74	19.86	19.81	0.14	11	0	357
2004-04-26	Q (Aug 04)	19.8	19.94	19.8	19.94	19.81	0	204	0	561
2004-04-27	Q (Aug 04)	19.71	19.83	19.71	19.78	19.8	-0.01	109	0	670
2004-04-28	Q (Aug 04)	20.12	20.27	20.12	20.14	20.26	0.46	163	0	817
2004-04-29	Q (Aug 04)	20.25	20.6	20.07	20.55	20.68	0.42	117	0	921
2004-04-30	Q (Aug 04)	20.65	20.7	20.62	20.7	20.93	0.25	102	0	1012
2004-05-03	Q (Aug 04)	20.8	20.85	20.63	20.85	20.61	-0.32	11	0	1022
2004-05-04	Q (Aug 04)	20.74	20.74	20.24	20.35	20.45	-0.16	36	0	1020
2004-05-05	Q (Aug 04)	20.24	20.3	20.24	20.3	20.26	-0.19	40	0	1022
2004-05-06	Q (Aug 04)	20.35	20.89	20.35	20.89	20.68	0.42	207	0	1027
2004-05-07	Q (Aug 04)	20.91	21.1	20.39	21.1	21.19	0.51	93	0	1045
2004-05-10	Q (Aug 04)	21.28	21.61	21.28	21.6	21.62	0.43	167	0	1176
2004-05-11	Q (Aug 04)	21.27	21.27	21.12	21.19	21.06	-0.56	25	0	1072
2004-05-12	Q (Aug 04)	21.34	21.58	21.31	21.58	20.98	-0.08	29	0	1072
2004-05-13	Q (Aug 04)	21.34	21.58	21.31	21.58	20.43	-0.55	153	0	1098
2004-05-14	Q (Aug 04)	20.66	20.66	20.56	20.58	20.56	0.13	3	0	1103
2004-05-17	Q (Aug 04)	20.71	21	20.58	21	21.05	0.49	184	0	983
2004-05-18	Q (Aug 04)	20.86	21.1	20.86	21	21.04	-0.01	47	0	993
2004-05-19	Q (Aug 04)	20.72	20.72	20.36	20.62	20.7	-0.34	63	0	1004
2004-05-20	Q (Aug 04)	20.72	20.72	20.68	20.68	20.67	-0.03	10	0	999
2004-05-21	Q (Aug 04)	20.66	20.9	20.66	20.8	20.86	0.19	135	0	979
2004-05-24	Q (Aug 04)	20.5	20.55	20.49	20.55	20.53	-0.33	12	0	980
