Symbol	Currency
^DJR	USD
^GSPC	USD
^RUO	USD
^RUT	USD
^VIX	USD
^VXO	USD
AGQ	USD
EEM	USD
EFA	USD
ERX	USD
ERY	USD
EUO	USD
EWI	USD
EWJ	USD
EWP	USD
EWU	USD
FAS	USD
FAZ	USD
FEZ	USD
GLD	USD
GSG	USD
IEF	USD
IWD	USD
IWF	USD
IWM	USD
IWN	USD
IWO	USD
JNK	USD
MCHI	USD
NORW	USD
RWR	USD
SDS	USD
SLV	USD
SPY	USD
SVXY	USD
TBT	USD
TLT	USD
TNA	USD
TVIX	USD
TZA	USD
UNG	USD
USO	USD
UVXY	USD
VGK	USD
VXX	USD
XIV	USD
XLB	USD
XLE	USD
XLF	USD
XLI	USD
XLK	USD
XLP	USD
XLU	USD
XLV	USD
XLY	USD
ZSL	USD
AGNC	USD
SJP3.L	USD
CROC	USD
KORS	USD
PCLN	USD
X	USD
ASH	USD
ABX.TO	CAD
ABX	USD
DAR	USD
HUN	USD
VAL	USD
CRI	USD
COST	USD
DISH	USD
LEN	USD
NKE	USD
PVH	USD
ROST	USD
WYN	USD
MNST	USD
EL	USD
AYI	USD
EOG	USD
OII	USD
RRC	USD
SCTY	USD
SXC	USD
CBG	USD
COF	USD
DFS	USD
ETFC	USD
LAZ	USD
SPG	USD
STI	USD
ALL	USD
BX	USD
ACT	USD
AMGN	USD
BMY	USD
ENDP	USD
EVHC	USD
HCA	USD
MCK	USD
PKI	USD
DGX	USD
BERY	USD
EXP	USD
LMT	USD
MLM	USD
WBC	USD
AMZN	USD
ADSK	USD
FLT	USD
INFN	USD
LRCX	USD
PANW	USD
PAYX	USD
RKUS	USD
TER	USD
EBAY	USD
CRM	USD
ODFL	USD
CPN	USD
KMI	USD
MWE	USD
PAGP	USD
TRGP	USD
ACX.MC	EUR
JMAT.L	GBP
LMI.L	GBP
NHY.OL	NOK
PTM.TO	CAD
RIO.L	GBP
SY1.DE	EUR
AMS.MC	EUR
BRBY.L	GBP
DMGT.L	GBP
DAI.DE	EUR
DUFN.SW	CHF
HAS.L	GBP
IMCD.AS	EUR
MKS.L	GBP
MARS.L	GBP
MS.MI	EUR
UG.PA	EUR
PSM.DE	EUR
RMV.L	GBP
SFER.MI	EUR
TPT.L	GBP
WPP.L	GBP
ABI.BR	EUR
CHR.CO	DKK
SBRY.L	GBP
OR.PA	EUR
OCDO.L	GBP
SAB.L	GBP
SZU.DE	EUR
AFR.L	GBP
AOI.TO	CAD
BG.L	GBP
ENI.MI	EUR
TGS.OL	NOK
AZM.MI	EUR
BBVA.MC	EUR
BYG.L	GBP
CS	USD
GPOR.L	GBP
ING	USD
ISP.MI	EUR
SCH.OL	NOK
STJ.L	GBP
TRYG.CO	DKK
UNI.MI	EUR
ZURVY	USD
GRF.MC	EUR
IPH.PA	EUR
ROG.VX	CHF
SHP.L	GBP
AALB.AS	EUR
ATCO-A.ST	SEK
CRST.L	GBP
GEBN.VX	CHF
MTX.DE	EUR
SAF.PA	EUR
SIE.DE	EUR
SXS.L	GBP
TW.L	GBP
WIE.VI	EUR
ZOT.MC	EUR
ARM.L	GBP
SAP	USD
SAP.DE	EUR
WDI.DE	EUR
ATC.AS	EUR
BT-A.L	GBP
ILD.PA	EUR
TIT.MI	EUR
EZJ.L	GBP
GOG.L	GBP
DRX.L	GBP
EOAN.DE	EUR
HER.MI	EUR
NSSMY	USD
DEN.F	EUR
NCLTF	USD
TM	USD
AJINF	USD
9BL.F	EUR
7599	NA
3141	NA
SMFG	USD
OCPNY	USD
FANUY	USD
MARUY	USD
NSK.F	EUR
FJK.F	EUR
KKE.F	EUR
KNCAY	USD
NJ	USD
OTSKF	USD
YOJ.F	EUR
601288.SS	CNY
1288.HK	HKD
000898.SZ	CNY
0914.HK	HKD
300058.SZ	CNY
6199.HK	HKD
1359.HK	HKD
0670.HK	HKD
601888.SS	CNY
0144.HK	HKD
000002.SZ	CNY
2007.HK	HKD
601006.SS	CNY
0895.HK	HKD
002241.SZ	CNY
002415.SZ	CNY
HMIN	USD
1071.HK	HKD
1833.HK	HKD
600872.SS	CNY
600519.SS	CNY
600612.SS	CNY
601318.SS	CNY
2318.HK	HKD
600196.SS	CNY
0750.HK	HKD
200581.SZ	HKD
WX	USD
600549.SS	CNY
BS6.SI	SGD
1299.HK	HKD
2388.HK	HKD
3386.HK	HKD
0013.HK	HKD
0316.HK	HKD
1972.HK	HKD
GRASIM.BO	INR
HINDPETRO.NS	INR
ITC.BO	INR
LT.NS	INR
SBIN.NS	INR
VOLTAS.NS	INR
BDMN.JK	IDR
161390.KS	KRW
000720.KS	KRW
010620.KS	KRW
030200.KS	KRW
KT	USD
2282.HK	HKD
6012.KL	MYR
ALI.PS	NA
D05.SI	SGD
S68.SI	SGD
5871.TW	TWD
2823.TW	TWD
1723.TW	TWD
2330.TW	TWD
TSM	USD
5903.TWO	TWD
DSH.AX	AUD
NEC.AX	AUD
SEK.AX	AUD
MELCA.NZ	NZD
STO.AX	AUD
ANZ.AX	AUD
AUB.AX	AUD
GMG.AX	AUD
MGR.AX	AUD
OFX.AX	AUD
CSL.AX	AUD
WES.AX	AUD
AIO.AX	AUD
DUE.AX	AUD
IFT.NZ	NZD
SKI.AX	AUD
