Date	Price	Currency
2017-02-24	15.4750	ARS
2017-02-23	15.5050	ARS
2017-02-22	15.5810	ARS
2017-02-21	15.5950	ARS
2017-02-20	15.6900	ARS
2017-02-17	15.6550	ARS
2017-02-16	15.4225	ARS
2017-02-15	15.3670	ARS
2017-02-14	15.4775	ARS
2017-02-13	15.4825	ARS
2017-02-10	15.5255	ARS
2017-02-09	15.6500	ARS
2017-02-08	15.6700	ARS
2017-02-07	15.6755	ARS
2017-02-06	15.7675	ARS
2017-02-03	15.6150	ARS
2017-02-02	15.6750	ARS
2017-02-01	15.7950	ARS
2017-01-31	15.8985	ARS
2017-01-30	15.8905	ARS
2017-01-27	15.8850	ARS
2017-01-26	15.9465	ARS
2017-02-24	0.7674	AUD
2017-02-23	0.7715	AUD
2017-02-22	0.7703	AUD
2017-02-21	0.7675	AUD
2017-02-20	0.7689	AUD
2017-02-17	0.7671	AUD
2017-02-16	0.7694	AUD
2017-02-15	0.7710	AUD
2017-02-14	0.7664	AUD
2017-02-13	0.7640	AUD
2017-02-10	0.7676	AUD
2017-02-09	0.7624	AUD
2017-02-08	0.7646	AUD
2017-02-07	0.7625	AUD
2017-02-06	0.7660	AUD
2017-02-03	0.7683	AUD
2017-02-02	0.7658	AUD
2017-02-01	0.7586	AUD
2017-01-31	0.7585	AUD
2017-01-30	0.7556	AUD
2017-01-27	0.7551	AUD
2017-01-26	0.7536	AUD
2017-02-24	3.1110	BRL
2017-02-23	3.0595	BRL
2017-02-22	3.0640	BRL
2017-02-21	3.0951	BRL
2017-02-20	3.0870	BRL
2017-02-17	3.1048	BRL
2017-02-16	3.0892	BRL
2017-02-15	3.0575	BRL
2017-02-14	3.0850	BRL
2017-02-13	3.1115	BRL
2017-02-10	3.1157	BRL
2017-02-09	3.1301	BRL
2017-02-08	3.1175	BRL
2017-02-07	3.1205	BRL
2017-02-06	3.1160	BRL
2017-02-03	3.1176	BRL
2017-02-02	3.1240	BRL
2017-02-01	3.1295	BRL
2017-01-31	3.1509	BRL
2017-01-30	3.1270	BRL
2017-01-27	3.1410	BRL
2017-01-26	3.1780	BRL
2017-02-24	1.3091	CAD
2017-02-23	1.3105	CAD
2017-02-22	1.3164	CAD
2017-02-21	1.3141	CAD
2017-02-20	1.3106	CAD
2017-02-17	1.3099	CAD
2017-02-16	1.3071	CAD
2017-02-15	1.3079	CAD
2017-02-14	1.3077	CAD
2017-02-13	1.3072	CAD
2017-02-10	1.3081	CAD
2017-02-09	1.3145	CAD
2017-02-08	1.3144	CAD
2017-02-07	1.3183	CAD
2017-02-06	1.3082	CAD
2017-02-03	1.3023	CAD
2017-02-02	1.3026	CAD
2017-02-01	1.3049	CAD
2017-01-31	1.3030	CAD
2017-01-30	1.3117	CAD
2017-01-27	1.3153	CAD
2017-01-26	1.3090	CAD
2017-02-24	1.0076	CHF
2017-02-23	1.0063	CHF
2017-02-22	1.0104	CHF
2017-02-21	1.0096	CHF
2017-02-20	1.0028	CHF
2017-02-17	1.0028	CHF
2017-02-16	0.9971	CHF
2017-02-15	1.0053	CHF
2017-02-14	1.0061	CHF
2017-02-13	1.0057	CHF
2017-02-10	1.0025	CHF
2017-02-09	1.0017	CHF
2017-02-08	0.9947	CHF
2017-02-07	0.9977	CHF
2017-02-06	0.9909	CHF
