AsOfDate	Forward.Date	Bid	Ask	Symbol
2014-11-13	2014-11-14	-0.65	-0.62	AUD/USD
2014-11-13	2014-11-16	-0.64	-0.62	AUD/USD
2014-11-13	2014-11-20	-4.47	-4.37	AUD/USD
2014-11-13	2014-11-27	-8.88	-8.73	AUD/USD
2014-11-13	2014-12-04	-13.23	-13.08	AUD/USD
2014-11-13	2014-12-13	-19.23	-19.12	AUD/USD
2014-11-13	2015-01-13	-38.5	-38.3	AUD/USD
2014-11-13	2015-02-13	-56.8	-56.56	AUD/USD
2014-11-13	2015-03-13	-78.05	-77.25	AUD/USD
2014-11-13	2015-04-13	-94.3	-93.5	AUD/USD
2014-11-13	2015-05-13	-112.1	-111.1	AUD/USD
2014-11-13	2015-06-13	-130.7	-129.2	AUD/USD
2014-11-13	2015-07-13	-150.3	-148.8	AUD/USD
2014-11-13	2015-08-13	-168.5	-166.5	AUD/USD
2014-11-13	2015-09-13	-187.9	-185.9	AUD/USD
2014-11-13	2015-10-13	-207.5	-205.5	AUD/USD
2014-11-13	2015-11-13	-226.6	-224.6	AUD/USD
2014-11-13	2016-11-13	-485.6	-475.6	AUD/USD
2014-11-13	2017-11-13	-751.4	-721.4	AUD/USD
2014-11-13	2018-11-13	-958.8	-908.8	AUD/USD
2014-11-13	2019-11-13	-1123.7	-1073.7	AUD/USD
2014-11-13	2014-11-14	0.265	0.275	USD/CAD
2014-11-13	2014-11-16	0.2	0.24	USD/CAD
2014-11-13	2014-11-20	1.77	1.82	USD/CAD
2014-11-13	2014-11-27	3.5	3.6	USD/CAD
2014-11-13	2014-12-04	5.25	5.35	USD/CAD
2014-11-13	2014-12-13	8.07	8.13	USD/CAD
2014-11-13	2015-01-13	15.45	15.6	USD/CAD
2014-11-13	2015-02-13	24.03	24.17	USD/CAD
2014-11-13	2015-03-13	30.75	31.25	USD/CAD
2014-11-13	2015-04-13	38	38.75	USD/CAD
2014-11-13	2015-05-13	46.5	47.25	USD/CAD
2014-11-13	2015-06-13	54.5	55.5	USD/CAD
2014-11-13	2015-07-13	62	63.5	USD/CAD
2014-11-13	2015-08-13	70	71.5	USD/CAD
2014-11-13	2015-09-13	77.5	79.5	USD/CAD
2014-11-13	2015-10-13	86	88	USD/CAD
2014-11-13	2015-11-13	94.5	96.5	USD/CAD
2014-11-13	2016-11-13	196	204	USD/CAD
2014-11-13	2017-11-13	287	302	USD/CAD
2014-11-13	2018-11-13	338	358	USD/CAD
2014-11-13	2019-11-13	346	381	USD/CAD
2014-11-13	2014-11-14	-0.08	-0.06	USD/CHF
2014-11-13	2014-11-16	-0.09	-0.06	USD/CHF
2014-11-13	2014-11-20	-0.55	-0.5	USD/CHF
2014-11-13	2014-11-27	-1.1	-1	USD/CHF
2014-11-13	2014-12-04	-1.69	-1.62	USD/CHF
2014-11-13	2014-12-13	-2.61	-2.44	USD/CHF
2014-11-13	2015-01-13	-5.4	-5	USD/CHF
2014-11-13	2015-02-13	-8.58	-8.22	USD/CHF
2014-11-13	2015-03-13	-13.6	-12.6	USD/CHF
2014-11-13	2015-04-13	-17.1	-16.1	USD/CHF
2014-11-13	2015-05-13	-19	-18	USD/CHF
2014-11-13	2015-06-13	-24.83	-22.83	USD/CHF
2014-11-13	2015-07-13	-28.93	-26.93	USD/CHF
2014-11-13	2015-08-13	-30	-29	USD/CHF
2014-11-13	2015-09-13	-38.09	-36.09	USD/CHF
2014-11-13	2015-10-13	-43.22	-41.22	USD/CHF
2014-11-13	2015-11-13	-44	-42	USD/CHF
2014-11-13	2016-11-13	-129.28	-109.28	USD/CHF
2014-11-13	2017-11-13	-264.76	-234.76	USD/CHF
2014-11-13	2018-11-13	-445.9	-405.9	USD/CHF
2014-11-13	2019-11-13	-649.5	-599.5	USD/CHF
2014-11-13	2014-11-14	0.6	2.6	USD/DKK
2014-11-13	2014-11-16	-1.75	-1.45	USD/DKK
2014-11-13	2014-11-20	-4.35	-2.86	USD/DKK
2014-11-13	2014-11-27	-7.67	-6.67	USD/DKK
2014-11-13	2014-12-04	-12.08	-10.58	USD/DKK
2014-11-13	2014-12-13	-19.04	-16.08	USD/DKK
2014-11-13	2015-01-13	-34.56	-30.85	USD/DKK
