RIC,Yahoo Symbol,Company Name,Sector,Country,Region,Local Currency,TS Currency
ASH,ASH,Ashland Inc.,Basic Materials,US,Americas,USD,USD
ABX.TO,ABX.TO,Barrick Gold Corp.,Basic Materials,Canada,Americas,CAD,CAD
ABX,ABX,Barrick Gold Corp.,Basic Materials,US,Americas,USD,USD
DAR,DAR,Darling Ingredients Inc.,Basic Materials,US,Americas,USD,USD
HUN,HUN,Huntsman Corp.,Basic Materials,US,Americas,USD,USD
VAL,VAL,The Valspar Corp.,Basic Materials,US,Americas,USD,USD
CRI,CRI,Carter's Inc.,Consumer Cyclicals,US,Americas,USD,USD
COST,COST,Costco Wholesale,Consumer Cyclicals,US,Americas,USD,USD
DISH,DISH,DISH Network Corp.,Consumer Cyclicals,US,Americas,USD,USD
LEN,LEN,Lennar Corp.,Consumer Cyclicals,US,Americas,USD,USD
NKE,NKE,"Nike, Inc.",Consumer Cyclicals,US,Americas,USD,USD
PVH,PVH,PVH Corp.,Consumer Cyclicals,US,Americas,USD,USD
ROST,ROST,"Ross Stores, Inc.",Consumer Cyclicals,US,Americas,USD,USD
WYN,WYN,Wyndham Worldwide Corp.,Consumer Cyclicals,US,Americas,USD,USD
MNST,MNST,Monster Beverage Corporation,Consumer Staples,US,Americas,USD,USD
EL,EL,The Estee Lauder Companies Inc.,Consumer Staples,US,Americas,USD,USD
AYI,AYI,"Acuity Brands, Inc.",Energy,US,Americas,USD,USD
EOG,EOG,EOG Resources Inc.,Energy,US,Americas,USD,USD
OII,OII,"Oceaneering International, Inc.",Energy,US,Americas,USD,USD
RRC,RRC,Range Resources Corp.,Energy,US,Americas,USD,USD
SCTY,SCTY,SolarCity Corp,Energy,US,Americas,USD,USD
SXC,SXC,"SunCoke Energy, Inc.",Energy,US,Americas,USD,USD
CBG,CBG,CBRE Group Inc.,Financial Services,US,Americas,USD,USD
COF,COF,Capital One Financial Corp.,Financial Services,US,Americas,USD,USD
DFS,DFS,Discover Financial Services,Financial Services,US,Americas,USD,USD
ETFC,ETFC,E*TRADE Financial Corp.,Financial Services,US,Americas,USD,USD
LAZ,LAZ,Lazard Ltd.,Financial Services,US,Americas,USD,USD
SPG,SPG,Simon Property Group,Financial Services,US,Americas,USD,USD
STI,STI,"SunTrust Banks, Inc.",Financial Services,US,Americas,USD,USD
ALL,ALL,The Allstate Corp.,Financial Services,US,Americas,USD,USD
BX,BX,The Blackstone Group L.P.,Financial Services,US,Americas,USD,USD
ACT,ACT,Actavis Plc,Healthcare,US,Americas,USD,USD
AMGN,AMGN,Amgen Inc.,Healthcare,US,Americas,USD,USD
BMY,BMY,Bristol-Myers Squibb Company,Healthcare,US,Americas,USD,USD
ENDP,ENDP,Endo International Plc,Healthcare,US,Americas,USD,USD
EVHC,EVHC,"Envision Healthcare Holdings, Inc.",Healthcare,US,Americas,USD,USD
HCA,HCA,"HCA Holdings, Inc.",Healthcare,US,Americas,USD,USD
MCK,MCK,McKesson Corp.,Healthcare,US,Americas,USD,USD
PKI,PKI,"PerkinElmer, Inc.",Healthcare,US,Americas,USD,USD
DGX,DGX,Quest Diagnostics Incorporated,Healthcare,US,Americas,USD,USD
BERY,BERY,"Berry Plastics Group, Inc.",Industrials,US,Americas,USD,USD
EXP,EXP,Eagle Materials Inc.,Industrials,US,Americas,USD,USD
