Index	Symbol	Name
^GSPC	MMM	3M Company
^GSPC	ABT	Abbott Laboratories
^GSPC	ABBV	AbbVie
^GSPC	ACN	Accenture plc
^GSPC	ATVI	Activision Blizzard
^GSPC	AYI	Acuity Brands Inc
^GSPC	ADBE	Adobe Systems Inc
^GSPC	AAP	Advance Auto Parts
^GSPC	AES	AES Corp
^GSPC	AET	Aetna Inc
^GSPC	AMG	Affiliated Managers Group Inc
^GSPC	AFL	AFLAC Inc
^GSPC	A	Agilent Technologies Inc
^GSPC	APD	Air Products & Chemicals Inc
^GSPC	AKAM	Akamai Technologies Inc
^GSPC	ALK	Alaska Air Group Inc
^GSPC	ALB	Albemarle Corp
^GSPC	AGN	Allergan, Plc
^GSPC	LNT	Alliant Energy Corp
^GSPC	ALXN	Alexion Pharmaceuticals
^GSPC	ALLE	Allegion
^GSPC	ADS	Alliance Data Systems
^GSPC	ALL	Allstate Corp
^GSPC	GOOGL	Alphabet Inc Class A
^GSPC	GOOG	Alphabet Inc Class C
^GSPC	MO	Altria Group Inc
^GSPC	AMZN	Amazon.com Inc
^GSPC	AEE	Ameren Corp
^GSPC	AAL	American Airlines Group
^GSPC	AEP	American Electric Power
^GSPC	AXP	American Express Co
^GSPC	AIG	American International Group, Inc.
^GSPC	AMT	American Tower Corp A
^GSPC	AWK	American Water Works Company Inc
^GSPC	AMP	Ameriprise Financial
^GSPC	ABC	AmerisourceBergen Corp
^GSPC	AME	AMETEK Inc
^GSPC	AMGN	Amgen Inc
^GSPC	APH	Amphenol Corp
^GSPC	APC	Anadarko Petroleum Corp
^GSPC	ADI	Analog Devices, Inc.
^GSPC	ANTM	Anthem Inc.
^GSPC	AON	Aon plc
^GSPC	APA	Apache Corporation
^GSPC	AIV	Apartment Investment & Mgmt
^GSPC	AAPL	Apple Inc.
^GSPC	AMAT	Applied Materials Inc
^GSPC	ADM	Archer-Daniels-Midland Co
^GSPC	ARNC	Arconic Inc
^GSPC	AJG	Arthur J. Gallagher & Co.
^GSPC	AIZ	Assurant Inc
