Symbol	Name	Currency	Exchange	Instrument.Long.Name	Isin	Segment.code	Sector.code
CNG	CHINA NONFERROUS GOLD LD	GBX	LSE	ORD USD0.0001 (DI)	KYG215771042	AMSM	ASM8
DUPD	DRAGON-UKRAINIAN PROP. & DEV. PLC	GBX	LSE	ORD 1P	IM00B1XH2B90	AMSM	ASM8
AGTA	AGRITERRA LD	GBX	LSE	ORD 0.1P	GB00B05MGT12	AMSM	ASM8
BEG	BEGBIES TRAYNOR GROUP PLC	GBX	LSE	ORD 5P	GB00B0305S97	AMSM	ASM8
SQZ	SERICA ENERGY PLC	GBX	LSE	ORD USD0.10	GB00B0CY5V57	AMSM	ASM8
IVO	IMPERIAL INNOVATIONS GROUP PLC	GBX	LSE	ORD 3 1/33P	GB00B170L953	AMSM	ASM8
CIRC	CIRCLE HOLDINGS PLC	GBX	LSE	ORD 2P	JE00B4V99J57	AMSM	ASM8
IGAS	IGAS ENERGY PLC	GBX	LSE	ORD 10P	GB00B29PWM59	AMSM	ASM8
GDL	GREKA DRILLING	GBX	LSE	ORD USD0.00001 (DI)	KYG411101002	AMSM	ASM8
LEK	LEKOIL LIMITED	GBX	LSE	ORD USD0.00005 (DI)	KYG5462G1073	AMSM	ASM8
ITM	ITM POWER PLC	GBX	LSE	ORD 5P	GB00B0130H42	AMSM	ASM8
CHAR	CHARIOT OIL & GAS LD	GBX	LSE	ORD 1P	GG00B2R9PM06	AMSM	ASM8
CGH	CHAARAT GOLD HOLDINGS LD	GBX	LSE	ORD USD0.01 (DI)	VGG203461055	AMSM	ASM8
GMR	GAMING REALMS PLC	GBX	LSE	ORD 10P	GB00BBHXD542	AMSM	ASM8
SBLM	SABLE MINING AFRICA LD	GBX	LSE	ORD NPV (DI)	VGG7762V1076	AMSM	ASM8
OXS	OXUS GOLD PLC	GBX	LSE	ORD 1P	GB0030632714	AMSM	ASM8
LIV	LIVERMORE INVESTMENTS GROUP LD	GBX	LSE	ORD NPV	VGG550931015	AMSM	ASM8
TAN	TANFIELD GROUP PLC	GBX	LSE	ORD 5P	GB00B4QHFM95	AMSM	ASM8
EKF	EKF DIAGNOSTICS HOLDINGS PLC	GBX	LSE	ORD 1P	GB0031509804	AMSM	ASM8
PXS	PROVEXIS PLC	GBX	LSE	ORD 0.1P	GB00B0923P27	AMSM	ASM8
POWR	POWERFLUTE OYJ	GBX	LSE	SHS NPV (DI)	FI0009015291	AMSM	ASM8
AFC	AFC ENERGY PLC	GBX	LSE	ORD 0.1P	GB00B18S7B29	AMSM	ASM8
RCI	RAPIDCLOUD INTERNATIONAL PLC	GBX	LSE	ORD NPV	JE00B8FX4C95	AMSM	ASM8
INDI	INDUS GAS LD	GBX	LSE	ORD 1P	GG00B39HF298	AMSM	ASM8
NOP	NORTHERN PETROLEUM PLC	GBX	LSE	ORD 1P	GB00B0D47T64	AMSM	ASM8
THR	THOR MINING PLC	GBX	LSE	ORD 0.01P	GB00B1DXJY95	AMSM	ASM8
IOF	IOFINA PLC	GBX	LSE	ORD 1P	GB00B2QL5C79	AMSM	ASM8
MYT	MYTRAH ENERGY LD	GBX	LSE	ORD NPV	GG00B64BJ143	AMSM	ASM8
PCI	PETROCELTIC INTERNATIONAL PLC	GBX	LSE	ORD EUR0.3125	IE00BB0QZ876	AMSM	ASM8
SLE	SAN LEON ENERGY PLC	GBX	LSE	ORD EUR0.01	IE00BWVFTP56	AMSM	ASM8
POL	POLO RESOURCES LD	GBX	LSE	ORD NPV (DI)	VGG6844A1158	AMSM	ASM8
CPP	CPPGROUP PLC	GBX	LSE	ORD 1P	GB00B5W55H93	AMSM	ASM8
RRL	RANGE RESOURCES LD	GBX	LSE	ORD NPV (DI)	AU000000RRS3	AMSM	ASM8
PHC	PLANT HEALTH CARE PLC	GBX	LSE	ORD 1P	GB00B01JC540	AMSM	ASM8
BOR	BORDERS & SOUTHERN PETROLEUM PLC	GBX	LSE	ORD 1P	GB00B08F4599	AMSM	ASM8
DALR	DALRADIAN RESOURCES INC.	GBX	LSE	COM SHS NPV (DI)	CA2354991002	AMSM	ASM7
SARS	SAROSSA PLC	GBX	LSE	ORD 1P	JE00BKWBZV64	AMSM	ASM7
MYSL	MYSALE GROUP PLC	GBX	LSE	ORD NPV	JE00BMH4MR96	AMSM	ASM7
HUR	HURRICANE ENERGY PLC	GBX	LSE	ORD 0.1P	GB00B580MF54	AMSM	ASM7
TOM	TOMCO ENERGY PLC	GBX	LSE	ORD 0.5P	GB0031782278	AMSM	ASM7
AEN	ANDES ENERGIA PLC	GBX	LSE	ORD 10P	GB00B7LHJ340	AMSM	ASM7
CWR	CERES POWER HOLDINGS PLC	GBX	LSE	ORD 1P	GB00B0351429	AMSM	ASM7
FLO	FLOWTECH FLUIDPOWER PLC	GBX	LSE	ORD 50P	GB00BM4NR742	AMSM	ASM7
NAH	NAHL GROUP PLC	GBX	LSE	ORD GBP0.0025	GB00BM7S2W63	AMSM	ASM7
TRE	TRADING EMISSIONS PLC	GBX	LSE	ORD 1P	GB00B073G363	AMSM	ASM7
AAU	ARIANA RESOURCES PLC	GBX	LSE	ORD 0.1P	GB00B085SD50	AMSM	ASM7
EPWN	EPWIN GROUP PLC	GBX	LSE	ORD 0.05P	GB00BNGY4Y86	AMSM	ASM7
PRM	PROTEOME SCIENCES PLC	GBX	LSE	ORD 1P	GB0003104196	AMSM	ASM7
HAT	H&T GROUP PLC	GBX	LSE	ORD 5P	GB00B12RQD06	AMSM	ASM7
GRPH	GRAPHENE NANOCHEM PLC	GBX	LSE	ORD 20P	GB00B9BBJ076	AMSM	ASM7
XEL	XCITE ENERGY LD	GBX	LSE	ORD SHS NPV (CDI)	VGG9828A1194	AMSM	ASM7
NLG	ARRIA NLG PLC	GBX	LSE	ORD 0.1P	GB00BGDFBC25	AMSM	ASM7
VLS	VELOCYS PLC	GBX	LSE	ORD 1P	GB00B11SZ269	AMSM	ASM7
HUNT	HUNTERS PROPERTY PLC	GBX	LSE	ORD 4P	GB00BYMW5L71	AMSM	ASM7
MTEC	MATCHTECH GROUP PLC	GBX	LSE	ORD 1P	GB00B1FMDQ43	AMSM	ASM7
HRN	HORNBY PLC	GBX	LSE	ORD 1P	GB00B01CZ652	AMSM	ASM7
XSG	XEROS TECHNOLOGY GROUP	GBX	LSE	ORD 0.15P	GB00BJFLLV84	AMSM	ASM7
ULS	ULS TECHNOLOGY PLC	GBX	LSE	ORD 0.4P	GB00BNG8T458	AMSM	ASM7
DAL	DALATA HOTEL GROUP PLC	GBX	LSE	ORD EUR0.01	IE00BJMZDW83	AMSM	ASM7
SFE	SAFESTYLE UK PLC	GBX	LSE	ORD 1P	JE00BGP63272	AMSM	ASM7
ZIOC	ZANAGA IRON ORE COMPANY LD	GBX	LSE	ORD NPV (DI)	VGG9888M1023	AMSM	ASM7
TRIN	TRINITY EXPLORATION & PRODUCTION 	GBX	LSE	ORD USD1.00	GB00B8JG4R91	AMSM	ASM7
DX.	DX (GROUP) PLC	GBX	LSE	ORD 1P	GB00BJTCG679	AMSM	ASM7
TILS	TIZIANA LIFE SCIENCES PLC	GBX	LSE	ORD 3P	GB00BKWNZY55	AMSM	ASM7
MAB1	MORTGAGE ADVICE BUREAU (HLDGS) PLC	GBX	LSE	ORD 0.1P	GB00BQSBH502	AMSM	ASM7
TTR	32RED PLC	GBX	LSE	ORD 0.2P	GI000A0F56M0	AMSM	ASM7
PKG	PARK GROUP PLC	GBX	LSE	ORD 2P	GB0006710643	AMSM	ASM7
IQE	IQE PLC	GBX	LSE	ORD 1P	GB0009619924	AMSM	ASM6
RKH	ROCKHOPPER EXPLORATION PLC	GBX	LSE	ORD 1P	GB00B0FVQX23	AMSM	ASM6
AMC	AMUR MINERALS CORPORATION	GBX	LSE	ORD NPV	VGG042401007	AMSM	ASM6
BPC	BAHAMAS PETROLEUM COMPANY PLC	GBX	LSE	ORD 0.002P	IM00B3NTV894	AMSM	ASM6
ELA	ELAND OIL & GAS PLC	GBX	LSE	ORD 10P	GB00B8HHWX64	AMSM	ASM6
IAE	ITHACA ENERGY INC	GBX	LSE	COM SHS NPV (DI)	CA4656761042	AMSM	ASM6
RPT	REGAL PETROLEUM PLC	GBX	LSE	ORD 5P	GB0031775819	AMSM	ASM6
BOO	BOOHOO.COM PLC	GBX	LSE	ORD 1P	JE00BG6L7297	AMSM	ASM6
TUNG	TUNGSTEN CORPORATION PLC	GBX	LSE	ORD 0.438P	GB00B7Z0Q502	AMSM	ASM6
UTW	UTILITYWISE PLC	GBX	LSE	ORD 0.1P	GB00B6WVD707	AMSM	ASM6
FPM	FAROE PETROLEUM PLC	GBX	LSE	ORD 10P	GB0033032904	AMSM	ASM6
POS	PLEXUS HOLDINGS PLC	GBX	LSE	ORD 1P	GB00B0MDF233	AMSM	ASM6
SPH	SINCLAIR PHARMA PLC	GBX	LSE	ORD 1P	GB0033856740	AMSM	ASM6
HVO	HVIVO PLC	GBX	LSE	ORD 5P	GB00B6ZM0X53	AMSM	ASM6
PMG	PARKMEAD GROUP (THE) PLC	GBX	LSE	ORD 1.5P	GB00BGCYZL73	AMSM	ASM6
QFI	QUADRISE FUELS INTERNATIONAL PLC	GBX	LSE	ORD 1P	GB00B11DDB67	AMSM	ASM6
HGM	HIGHLAND GOLD MINING LD	GBX	LSE	ORD 0.1P	GB0032360173	AMSM	ASM6
CAML	CENTRAL ASIA METALS PLC	GBX	LSE	ORD USD0.01	GB00B67KBV28	AMSM	ASM6
SLN	SILENCE THERAPEUTICS PLC	GBX	LSE	ORD 5P	GB00B9GTXM62	AMSM	ASM6
PLUS	PLUS500 LTD	GBX	LSE	ORD ILS0.01 (DI)	IL0011284465	AMSM	ASM6
LXB	LXB RETAIL PROPERTIES PLC	GBX	LSE	ORD NPV	JE00B4MFKH73	AMSM	ASM6
VOG	VICTORIA OIL & GAS PLC	GBX	LSE	ORD 0.5P	GB00BRWR3752	AMSM	ASM6
AXS	ACCSYS TECHNOLOGIES PLC	GBX	LSE	ORD EUR0.05	GB00BQQFX454	AMSM	ASM6
BLNX	BLINKX PLC	GBX	LSE	ORD 1P	GB00B1WBW239	AMSM	ASM6
PAF	PAN AFRICAN RESOURCES PLC	GBX	LSE	ORD 1P	GB0004300496	AMSM	ASM6
BLVN	BOWLEVEN PLC	GBX	LSE	ORD 10P	GB00B04PYL99	AMSM	ASM6
HSP	HARGREAVES SERVICES PLC	GBX	LSE	ORD 10P	GB00B0MTC970	AMSM	ASM6
SEY	STERLING ENERGY PLC	GBX	LSE	ORD 40P	GB00B4X3Q493	AMSM	ASM6
MONI	MONITISE PLC	GBX	LSE	ORD 1P	GB00B1YMRB82	AMSM	ASM6
PPC	PRESIDENT ENERGY PLC	GBX	LSE	ORD 1P	GB00B3DDP128	AMSM	ASM6
INTQ	INTERNETQ PLC	GBX	LSE	ORD 0.25P	GB00B5BJJR09	AMSM	ASM6
AMA	AMARA MINING PLC	GBX	LSE	ORD 1P	GB00B04M1L91	AMSM	ASM6
HAWK	NIGHTHAWK ENERGY PLC	GBX	LSE	ORD 0.25P	GB00B156TD53	AMSM	ASM6
MPE	M. P. EVANS GROUP PLC	GBX	LSE	ORD 10P	GB0007538100	AMSM	AS50
CVSG	CVS GROUP PLC	GBX	LSE	ORD 0.2P	GB00B2863827	AMSM	AS50
ARBB	ARBUTHNOT BANKING GROUP PLC	GBX	LSE	ORD 1P	GB0007922338	AMSM	AS50
YNGA	YOUNG & CO'S BREWERY PLC	GBX	LSE	A' ORD 12.5P	GB00B2NDK765	AMSM	AS50
SMS	SMART METERING SYSTEMS PLC	GBX	LSE	ORD 1P	GB00B4X1RC86	AMSM	AS50
VER	VERNALIS PLC	GBX	LSE	ORD 1P	GB00B3Y5L754	AMSM	AS50
STB	SECURE TRUST BANK PLC	GBX	LSE	ORD 40P	GB00B6TKHP66	AMSM	AS50
TEF	TELFORD HOMES PLC	GBX	LSE	ORD 10P	GB0031022154	AMSM	AS50
FDP	FIRST DERIVATIVES PLC	GBX	LSE	ORD 0.5P	GB0031477770	AMSM	AS50
AMER	AMERISUR RESOURCES PLC	GBX	LSE	ORD 0.1P	GB0032087826	AMSM	AS50
