Symbol	Name	LastSale	MarketCap	IPOyear	Sector	Industry	Exchange	Currency
AAAP	Advanced Accelerator Applications S.A.	36.96	$1.6B	2015	Health Care	Major Pharmaceuticals	NASDAQ	USD
AAL	American Airlines Group, Inc.	46.28	$23.48B	NA	Transportation	Air Freight/Delivery Services	NASDAQ	USD
AAME	Atlantic American Corporation	3.8	$77.58M	NA	Finance	Life Insurance	NASDAQ	USD
AAOI	Applied Optoelectronics, Inc.	45.98	$790.87M	2013	Technology	Semiconductors	NASDAQ	USD
AAON	AAON, Inc.	34.5	$1.82B	NA	Capital Goods	Industrial Machinery/Components	NASDAQ	USD
AAPC	Atlantic Alliance Partnership Corp.	13.01	$47.97M	2015	Consumer Services	Services-Misc. Amusement & Recreation	NASDAQ	USD
AAPL	Apple Inc.	136.66	$716.99B	1980	Technology	Computer Manufacturing	NASDAQ	USD
AAWW	Atlas Air Worldwide Holdings	56.4	$1.41B	NA	Transportation	Transportation Services	NASDAQ	USD
AAXJ	iShares MSCI All Country Asia ex Japan Index Fund	61.02	$2.65B	NA	NA	NA	NASDAQ	USD
ABAC	Aoxin Tianli Group, Inc.	2.89	$23.09M	NA	Consumer Non-Durables	Farming/Seeds/Milling	NASDAQ	USD
ABAX	ABAXIS, Inc.	49.75	$1.12B	1992	Capital Goods	Industrial Machinery/Components	NASDAQ	USD
ABCB	Ameris Bancorp	48.75	$1.7B	1994	Finance	Major Banks	NASDAQ	USD
ABCD	Cambium Learning Group, Inc.	4.95	$227.82M	NA	Consumer Services	Publishing	NASDAQ	USD
ABCO	The Advisory Board Company	45.35	$1.82B	2001	Consumer Services	Other Consumer Services	NASDAQ	USD
ABDC	Alcentra Capital Corp.	12.59	$169.85M	NA	NA	NA	NASDAQ	USD
ABEO	Abeona Therapeutics Inc.	5.25	$209.79M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ABEOW	Abeona Therapeutics Inc.	3.05	NA	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ABIL	Ability Inc.	2.8	$72.12M	2014	Finance	Business Services	NASDAQ	USD
ABIO	ARCA biopharma, Inc.	2.575	$23.39M	NA	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	NASDAQ	USD
ABMD	ABIOMED, Inc.	117.14	$5.1B	NA	Health Care	Medical/Dental Instruments	NASDAQ	USD
ABTL	Autobytel Inc.	12.8	$140.32M	1999	Technology	Computer Software: Programming, Data Processing	NASDAQ	USD
ABTX	Allegiance Bancshares, Inc.	36.65	$472.97M	2015	Finance	Major Banks	NASDAQ	USD
ABUS	Arbutus Biopharma Corporation	2.65	$145.33M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ABY	Atlantica Yield plc	21.85	$2.19B	2014	Public Utilities	Electric Utilities: Central	NASDAQ	USD
ACAD	ACADIA Pharmaceuticals Inc.	38.88	$4.71B	1985	Health Care	Major Pharmaceuticals	NASDAQ	USD
ACAT	Arctic Cat Inc.	18.5	$241.63M	1990	Capital Goods	Industrial Specialties	NASDAQ	USD
ACBI	Atlantic Capital Bancshares, Inc.	18.4	$461.71M	NA	Finance	Major Banks	NASDAQ	USD
ACET	Aceto Corporation	15.36	$462.55M	NA	Health Care	Other Pharmaceuticals	NASDAQ	USD
ACFC	Atlantic Coast Financial Corporation	7.75	$120.2M	NA	Finance	Savings Institutions	NASDAQ	USD
ACGL	Arch Capital Group Ltd.	94.54	$11.6B	NA	Finance	Property-Casualty Insurers	NASDAQ	USD
ACGLP	Arch Capital Group Ltd.	22.48	NA	NA	Finance	Property-Casualty Insurers	NASDAQ	USD
ACHC	Acadia Healthcare Company, Inc.	44.94	$3.93B	NA	Health Care	Medical Specialities	NASDAQ	USD
ACHN	Achillion Pharmaceuticals, Inc.	3.86	$527.59M	2006	Health Care	Major Pharmaceuticals	NASDAQ	USD
ACIA	Acacia Communications, Inc.	54.04	$2.02B	2016	Technology	Semiconductors	NASDAQ	USD
ACIU	AC Immune SA	11.85	$656.44M	2016	Health Care	Major Pharmaceuticals	NASDAQ	USD
ACIW	ACI Worldwide, Inc.	20.29	$2.38B	NA	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
ACLS	Axcelis Technologies, Inc.	15.8	$466.38M	2000	Technology	Industrial Machinery/Components	NASDAQ	USD
ACNB	ACNB Corporation	29.4	$178.29M	NA	Finance	Major Banks	NASDAQ	USD
ACOR	Acorda Therapeutics, Inc.	24.9	$1.15B	2006	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
ACRS	Aclaris Therapeutics, Inc.	30.8	$802.34M	2015	Health Care	Major Pharmaceuticals	NASDAQ	USD
ACRX	AcelRx Pharmaceuticals, Inc.	3	$136M	2011	Health Care	Major Pharmaceuticals	NASDAQ	USD
ACSF	American Capital Senior Floating, Ltd.	12.95	$129.5M	2014	NA	NA	NASDAQ	USD
ACST	Acasti Pharma, Inc.	1.2	$12.85M	NA	Health Care	Major Pharmaceuticals	NASDAQ	USD
ACTA	Actua Corporation	14	$488.45M	NA	Technology	EDP Services	NASDAQ	USD
ACTG	Acacia Research Corporation	5.8	$292.69M	NA	Miscellaneous	Multi-Sector Companies	NASDAQ	USD
ACTX	Global X Guru Activist ETF	14.8325	NA	NA	NA	NA	NASDAQ	USD
ACWI	iShares MSCI ACWI Index Fund	62.58	$6.51B	NA	NA	NA	NASDAQ	USD
ACWX	iShares MSCI ACWI ex US Index Fund	42.54	$2.02B	NA	NA	NA	NASDAQ	USD
ACXM	Acxiom Corporation	29.37	$2.29B	NA	Technology	EDP Services	NASDAQ	USD
ADAP	Adaptimmune Therapeutics plc	3.95	$279.6M	2015	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	NASDAQ	USD
ADBE	Adobe Systems Incorporated	119.31	$58.95B	1986	Technology	Computer Software: Prepackaged Software	NASDAQ	USD
ADES	Advanced Emissions Solutions, Inc.	11.01	$242.24M	NA	Basic Industries	Major Chemicals	NASDAQ	USD
ADHD	Alcobra Ltd.	1.24	$34.18M	2013	Health Care	Major Pharmaceuticals	NASDAQ	USD
