Symbol	Name	LastSale	MarketCap	IPOyear	Sector	Industry	Exchange	Currency
A	Agilent Technologies, Inc.	51.74	$16.66B	1999	Capital Goods	Biotechnology: Laboratory Analytical Instruments	NYSE	USD
AA	Alcoa Corporation	34.48	$6.31B	2016	Capital Goods	Metal Fabrications	NYSE	USD
AAC	AAC Holdings, Inc.	7.58	$179.7M	2014	Health Care	Medical Specialities	NYSE	USD
AAN	Aaron&#39;s,  Inc.	27.18	$1.97B	NA	Technology	Diversified Commercial Services	NYSE	USD
AAP	Advance Auto Parts Inc	157.33	$11.6B	NA	Consumer Services	Other Specialty Stores	NYSE	USD
AAT	American Assets Trust, Inc.	44.13	$2.05B	2011	Consumer Services	Real Estate Investment Trusts	NYSE	USD
AAV	Advantage Oil & Gas Ltd	6.15	$1.14B	NA	Energy	Oil & Gas Production	NYSE	USD
AB	AllianceBernstein Holding L.P.	23.7	$2.29B	NA	Finance	Investment Managers	NYSE	USD
ABB	ABB Ltd	22.55	$48.17B	NA	Consumer Durables	Electrical Products	NYSE	USD
ABBV	AbbVie Inc.	62.09	$98.97B	2012	Health Care	Major Pharmaceuticals	NYSE	USD
ABC	AmerisourceBergen Corporation (Holding Co)	92.16	$20.02B	NA	Health Care	Other Pharmaceuticals	NYSE	USD
ABEV	Ambev S.A.	5.71	$89.75B	2013	Consumer Non-Durables	Beverages (Production/Distribution)	NYSE	USD
ABG	Asbury Automotive Group Inc	66.7	$1.48B	2002	Consumer Durables	Automotive Aftermarket	NYSE	USD
ABM	ABM Industries Incorporated	41.09	$2.28B	NA	Finance	Diversified Commercial Services	NYSE	USD
ABR	Arbor Realty Trust	7.36	$378.31M	2004	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ABR-PA	Arbor Realty Trust	25.2375	NA	NA	NA	NA	NYSE	USD
ABR-PB	Arbor Realty Trust	24.95	NA	NA	NA	NA	NYSE	USD
ABR-PC	Arbor Realty Trust	25.2701	NA	NA	NA	NA	NYSE	USD
ABRN	Arbor Realty Trust	25.4098	NA	2014	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ABT	Abbott Laboratories	45.68	$78.93B	NA	Health Care	Major Pharmaceuticals	NYSE	USD
ABX	Barrick Gold Corporation	19.54	$22.78B	NA	Basic Industries	Precious Metals	NYSE	USD
AC	Associated Capital Group, Inc.	38	$921.55M	2015	Finance	Investment Bankers/Brokers/Service	NYSE	USD
ACC	American Campus Communities Inc	51.43	$6.79B	2004	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ACCO	Acco Brands Corporation	14.1	$1.51B	NA	Consumer Durables	Publishing	NYSE	USD
ACH	Aluminum Corporation of China Limited	12.55	$7.48B	2001	Basic Industries	Aluminum	NYSE	USD
ACM	AECOM	35.77	$5.56B	2007	Consumer Services	Military/Government/Technical	NYSE	USD
ACN	Accenture plc	123.43	$79.48B	2001	Miscellaneous	Business Services	NYSE	USD
ACP	Avenue Income Credit Strategies Fund	14.29	$186.83M	2011	NA	NA	NYSE	USD
ACRE	Ares Commercial Real Estate Corporation	13.61	$387.65M	2012	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ACV	AllianzGI Diversified Income & Convertible Fund	20.44	$210.02M	2015	NA	NA	NYSE	USD
ADC	Agree Realty Corporation	50.74	$1.31B	NA	Consumer Services	Real Estate Investment Trusts	NYSE	USD
ADM	Archer-Daniels-Midland Company	45.26	$25.85B	NA	Consumer Non-Durables	Packaged Foods	NYSE	USD
ADNT	Adient plc	66.48	$6.23B	2016	NA	NA	NYSE	USD
ADPT	Adeptus Health Inc.	6.77	$142.98M	2014	Health Care	Hospital/Nursing Management	NYSE	USD
ADS	Alliance Data Systems Corporation	244.81	$14.14B	2001	Miscellaneous	Business Services	NYSE	USD
ADSW	Advanced Disposal Services, Inc.	21.84	$1.92B	2016	Public Utilities	Environmental Services	NYSE	USD
ADX	Adams Diversified Equity Fund, Inc.	13.64	$1.3B	NA	NA	NA	NYSE	USD
AEB	Aegon NV	25.22	NA	NA	Finance	Life Insurance	NYSE	USD
AED	Aegon NV	26.1	NA	NA	Finance	Life Insurance	NYSE	USD
AEE	Ameren Corporation	54.58	$13.24B	NA	Public Utilities	Power Generation	NYSE	USD
AEG	Aegon NV	5.28	$11.14B	NA	Finance	Life Insurance	NYSE	USD
AEH	Aegon NV	25.7	NA	NA	Finance	Life Insurance	NYSE	USD
AEK	Aegon NV	25.9	NA	NA	Finance	Life Insurance	NYSE	USD
AEL	American Equity Investment Life Holding Company	26.73	$2.35B	2003	Finance	Life Insurance	NYSE	USD
AEM	Agnico Eagle Mines Limited	45.32	$10.21B	NA	Basic Industries	Precious Metals	NYSE	USD
AEO	American Eagle Outfitters, Inc.	15.25	$2.77B	NA	Consumer Services	Clothing/Shoe/Accessory Stores	NYSE	USD
AEP	American Electric Power Company, Inc.	67.15	$33.02B	NA	Public Utilities	Electric Utilities: Central	NYSE	USD
AER	Aercap Holdings N.V.	45.35	$8.24B	2006	Technology	Diversified Commercial Services	NYSE	USD
AES	The AES Corporation	11.93	$7.86B	NA	Basic Industries	Electric Utilities: Central	NYSE	USD
AES-PC	The AES Corporation	50.51	NA	NA	Basic Industries	Electric Utilities: Central	NYSE	USD
AET	Aetna Inc.	128.97	$45.36B	NA	Health Care	Medical Specialities	NYSE	USD
AEUA	Anadarko Petroleum Corporation	44.59	NA	2015	Energy	Oil & Gas Production	NYSE	USD
AF	Astoria Financial Corporation	18.68	$1.89B	NA	Finance	Savings Institutions	NYSE	USD
AF-PC	Astoria Financial Corporation	25.9164	NA	NA	NA	NA	NYSE	USD
AFA	American Financial Group, Inc.	25.3399	NA	2012	Finance	Property-Casualty Insurers	NYSE	USD
AFB	Alliance National Municipal Income Fund Inc	13.5	$388.06M	2002	NA	NA	NYSE	USD
AFC	Ares Capital Corporation	25.46	$203.68M	NA	NA	NA	NYSE	USD
AFG	American Financial Group, Inc.	94.23	$8.18B	NA	Finance	Property-Casualty Insurers	NYSE	USD
AFGE	American Financial Group, Inc.	26.08	NA	2014	Finance	Property-Casualty Insurers	NYSE	USD
AFGH	American Financial Group, Inc.	26.01	NA	2015	Finance	Property-Casualty Insurers	NYSE	USD
AFI	Armstrong Flooring, Inc.	22.04	$613.31M	2016	Consumer Non-Durables	Plastic Products	NYSE	USD
AFL	Aflac Incorporated	71.71	$29.1B	NA	Finance	Accident &Health Insurance	NYSE	USD
AFSD	Aflac Incorporated	25.39	NA	NA	Finance	Accident &Health Insurance	NYSE	USD
AFSI-PA	AmTrust Financial Services, Inc.	25.36	NA	NA	NA	NA	NYSE	USD
AFSI-PB	AmTrust Financial Services, Inc.	25.8087	NA	NA	NA	NA	NYSE	USD
