Region,Currency,Code,Exchange Name,Suffix
Argentina,ARS,BCBA,Buenos Aires Stock Exchange,.BA
Australia,AUD,ASX,Australian Stock Exchange,.AX
Austria,EUR,WBAG,Vienna Stock Exchange,.VI
Belgium,EUR,BRU,EURONEXT - Brussels,.BR
Brazil,BRL,SAO,Sao Paolo Stock Exchange,.SA
Canada,CAD,TSX,Toronto Stock Exchange,.TO
Canada,CAD,CDNX,TSX Venture Exchange,.V
Canada,CAD,CNQ,Canadian Trading and Quotation System,.CD
China,CNY,SSE,Shanghai Stock Exchange,.SS
China,CNY,SHZ,Shenzhen Stock Exchange,.SZ
Colombia,CLP,CLSE,Colombia Stock Exchange,.CN
Denmark,DKK,CSE,Copenhagen Stock Exchange,.CO
Finland,EUR,HEL,OMX Nordic - Helsinki,.HE
France,EUR,PAR,EURONEXT - Paris,.PA
Germany,EUR,BER,Berlin Stock Exchange,.BE
Germany,EUR,BRE,Bremen Stock Exchange,.BM
Germany,EUR,DUS,Dusseldorf Stock Exchange,.DU
Germany,EUR,FRA,Frankfurt Stock Exchange,.F
Germany,EUR,MUN,Munich Stock Exchange,.MU
Germany,EUR,SWB,Stuttgart Stock Exchange,.SG
Germany,EUR,XETRA,XETRA Stock Exchange,.DE
Hong Kong,HKD,HKEX,Hong Kong Stock Exchange,.HK
Iceland,ISK,ICX,OMX Nordic - Iceland,.IC
India,INR,BSE,Bombay Stock Exchange,.BO
India,INR,NSE,National Stock Exchange of India,.NS
Indonesia,IDR,JSX,Jakarta Stock Exchange,.JK
Ireland,EUR,ICE,Irish Stock Exchange,.I
Israel,ILS,TLV,Tel Aviv Stock Exchange,.TA
Italy,EUR,BIT,Borsa Italiana,.MI
Japan,JPY,FKA,Fukuoka Stock Exchange,.FU
Japan,JPY,SPSE,Sapporo Stock Exchange,.SP
Japan,JPY,OSA,Osaka Securities Exchange,.OS
Japan,JPY,JSD,JASDAQ,.Q
Japan,JPY,TYO,Tokyo Stock Exchange,.T
Mexico,MXN,MEX,Mexico Stock Exchange,.MX
Netherlands,EUR,AEX,Amsterdam Stock Exchange,.AS
New Zealand,NZD,NZX,New Zealand Stock Exchange,.NZ
Norway,NOK,OSE,Oslo Stock Exchange,.OL
Pakistan,PKR,KAR,Karachi Stock Exchange,.KA
Peru,PEN,LMA,Lima Stock Exchange,.LM
Poland,PLN,WSE,Warsaw Stock Exchange,.WA
Portugal,EUR,ELI,Lisbon Stock Exchange,.LS
Romania,RON,BCSE,Bucharest Stock Exchange,.BX
Russia,RUB,MCX,MICEX,.MM
Russia,RUB,RTS,Russian Trading System (RTS),.RTS
Singapore,SGD,SGX,Singapore Stock Exchange,.SI
South Africa,ZAR,JNB,Johannesburg Stock Exchange,.J
South Korea,KRW,KSC,Korea Stock Exchange,.KS
South Korea,KRW,KOE,KOSDAQ,.KQ
Spain,EUR,BAR,Barcelona Stock Exchange,.BC
Spain,EUR,BIL,Bilbao Stock Exchange,.BI
Spain,EUR,MAD,Madrid Stock Exchange,.MA
Spain,EUR,MSE,Madrid C.A.T.S.,.MC
Sweden,SEK,STO,OMX Nordic - Stockholm,.ST
Switzerland,CHF,BRN,Berne Stock Exchange,.BN
Switzerland,CHF,SWX,Swiss Stock Exchange,.S
Switzerland,CHF,VTX,Virt-X,.VX
Taiwan,TWD,TWO,Taiwan OTC Exchange,.TWO
Taiwan,TWD,TSEC,Taiwan Stock Exchange,.TW
Turkey,TRY,IST,Istanbul Stock Exchange,.IS
UK,MUL,LSE,London Stock Exchange,.L
USA,USD,AMEX,American Stock Exchange,.A
USA,USD,NASDAQ,NASDAQ Stock Exchange,.O
USA,USD,NYSE,New York Stock Exchange,.N
USA,USD,OTCBB,OTC Bulletin Board Market,.OB
USA,USD,OTCQX,Pink Sheets,.PK
Venezuela,VEF,CCS,Caracas Stock Exchange,.CR
