Symbol	Description
AAA	AP ALTERNAT ASSETS
AALB	AALBERTS INDUSTR
ACOMO	AMSTERDAM COMMOD.
AF	Air France
AGN	AEGON
AH	AHOLD KON
AJAX	AJAX
AKZA	AKZO NOBEL
ALRRE	ROYALREESINK
AMG	AMG
AND	AND INTERNATIONAL
APAM	APERAM
ASM	ASM INTERNATIONAL
ASML	ASML HOLDING
ATRS	ATRIUM EUR REALEST
AXS	ACCSYS
BALNE	BALLAST NEDAM
BAMNB	BAM GROEP KON
BATEN	BATENBURG BEHEER
BBED	BETER BED
BESI	BE SEMICONDUCTOR
BGHL	BOUSSARD GAVAUDAN
BINCK	BINCKBANK
BOKA	BOSKALIS WESTMIN
BRILL	BRILL KON
BRNL	BRUNEL INTERNAT
CTAC	CTAC
CVG	CROWN VAN GELDER
DICO	DICO INTERNATIONAL
DL	DELTA LLOYD
DOCD	DOC DATA
DPA	DPA GROUP
DSM	DSM KON
DTEL	DEUTSCHE TELEKOM
ECMPA	EUROCOMMERCIAL
ECT	EUROCASTLE INVEST.
ENI	ENI
FUR	FUGRO
GRONT	GRONTMIJ
GTO	Gemalto
HAL	HAL TRUST
HDG	HUNTER DOUGLAS
HEIA	HEINEKEN
HEIO	HEINEKEN HOLDING
HES	HES BEHEER
HOLCO	HOLLAND COLOURS
HYDRA	HYDRATEC
ICT	ICT AUTOMATISERING
IM	IMTECH
INGA	ING GROEP
KA	KAS BANK
KARD	KARDAN
KENDR	KENDRION
KPN	KPN KON
KTC	TEN CATE
LANS	VAN LANSCHOT
MACIN	MACINTOSH RETAIL
MT	ARCELORMITTAL
NBPE	NB PRIV EQ PARTN
NEDAP	NEDAP
NEDSE	NEDSENSE ENTERPR
NEWAY	NEWAYS ELECTRONICS
NISTI	NIEUWE STEEN INV
NOKA	NOKIA
NUO	NUTRECO
ORANW	ORANJEWOUD A
ORDI	ORDINA
PHARM	PHARMING GROUP
PHIA	PHILIPS KON
PNL	POSTNL
RAND	RANDSTAD
RBS	ROY BK OF SCOTLAND
RDSA	ROYAL DUTCH SHELLA
RDSB	ROYAL DUTCH SHELLB
REN	REED ELSEVIER
ROOD	ROODMICROTEC
SBMO	SBM OFFSHORE
SIA	SIEMENS
SOPH	SOPHEON
STRN	STERN GROEP
TFA	TELEFONICA
TFG	TETRAGON FIN GRP
TIE	TIE HOLDING
TMG	TELEGRAAF MEDIA GR
TNTE	TNT EXPRESS
TOM2	TOMTOM
TWEKA	TKH GROUP
UL	Unibail-Rodamco SE
UNA	UNILEVER
UNIA	UNILEVER
USG	USG PEOPLE
VPK	VOPAK
VTA	VOLTA FINANCE
VWA	VOLKSWAGEN
WES	WESSANEN KON
WKL	WOLTERS KLUWER
YATRA	YATRA
ZIGGO	Ziggo
