Symbol	Description
1PG	1-page Limited
3PL	3p Learning Limited..
8CO	8common Limited
AAA	Betashares Australian High Interest Cash Etf
AAC	Australian Agricultural Company Ltd
AAD	Ardent Leisure Group
AAI	Alcoa Inc (USA CUFS)
AAJ	Aruma Resources Limited
AAK	AAK
AAL	Apac Coal Ltd
AAP	Australian Agricultural Projects Limited
AAR	Anglo Australian Resources NL
AAT	Autron Corporation Ltd
AAU	Adcorp Australia Ltd
AAX	Ausenco Ltd
AAZPB	AAZ
ABC	Adelaide Brighton Ltd
ABCKOD	Adelaide Brighton Limited
ABCKOE	Adelaide Brighton Limited
ABCKOP	Adelaide Brighton Limited
ABCKOQ	Adelaide Brighton Limited
ABP	Abacus Property Group
ABU	ABM Resources NL
ABV	Advanced Braking Technology Ltd
ABVO	Advanced Braking Technology Ltd
ABW	Aurora Buy Write Income Trust
ABX	Abelle Ltd
ABY	Aditya Birla Minerals Ltd
ACB	A-Cap Resources Ltd
ACE	Advanced Engine Components Ltd
ACG	Atcor Medical Holdings Ltd
ACJ	African Chrome Fields Limited
ACK	Austock Group Ltd
ACL	Alchemia Ltd
ACP	Audalia Resources Limited
ACQ	Acorn Capital Investment Fund Limited
ACQO	Acorn Capital Investment Fund Limited
ACR	Acrux Ltd
ACRKOG	Acrux Limited
ACS	Accent Resources NL
ACU	Avantogen Ltd
ACW	Actinogen Ltd
ACWOA	Actinogen Limited
ADA	Adacel Technologies Ltd
ADD	Adavale Resources Ltd
ADJ	Adslot Ltd
ADN	Adelaide Resources Ltd
ADO	
ADQ	ADG Global Supply Ltd
ADX	Audax Resources Ltd
ADY	Admiralty Resources NL
AEB	Algae.tec Limited
AED	AED Oil Ltd
AEE	Aura Energy Ltd
AEEO	AEEO
AEF	Australian Ethical Investments Ltd
AEI	Aeris Technologies Ltd
AEJ	Alinta Energy Group
AEK	Anatolia Energy Limited
AEKO	Anatolia Energy Limited
AEM	Artist & Entertainment Group Ltd
AES	Advanced Energy Systems Ltd
AFA	ASF Group Ltd
AFI	Australian Foundation Invest Ltd
AFIG	Australian Foundation Investment Company Limited
