Symbol	Description
ABI	AB INBEV
ABLX	ABLYNX (D)
ACKB	ACKERMANS V.HAAREN
AED	AEDIFICA
AGFB	AGFA-GEVAERT
AGS	Ageas
ASC	ASCENCIO (D)
ATEB	ATENOR GROUP (D)
AUDB	AUDERGHEM CERT
BANI	BANIMMO A (D)
BAR	BARCO
BEFB	BEFIMMO-SICAFI
BEKB	BEKAERT (D)
BELG	BELGACOM
BIL	RENTABILIWEB (D)
BNB	BQUE NAT. BELGIQUE
BREB	BREDERODE
CAMB	CAMPINE
CFEB	CFE (D)
CMB	CMB
COFB	COFINIMMO-SICAFI
COLR	COLRUYT (D)
COMB	CIE BOIS SAUVAGE
CONN	CONNECT GROUP
DECB	DECEUNINCK
DELB	Delhaize Group SA
DEXB	DEXIA
DIE	D'IETEREN (D)
DIEG	DIEGEM KENNEDYCERT
ECONB	ECONOCOM GROUP
ELI	Elia System
EURN	EURONAV
EVS	EVS BROADC.EQUIPM.
EXM	EXMAR
FLOB	FLORIDIENNE
FLUX	FLUXYS CAT.D
FOY	FOYER
GBLB	Groupe Bruxelles Lambert
GIMB	GIMV
GLOG	GLOBAL GRAPHICS
GLPG	GALAPAGOS
IMMO	IMMOBEL
IMMOU	IMMO MOURY (D)
INTO	INTERVEST OFFICES
JEN	JENSEN-GROUP
KBC	KBC
KBCA	KBC ANCORA
KEYW	KEYWARE TECH. (D)
KIN	KINEPOLIS GROUP
KOR	KORTRIJK SHOP.CERT
LEAS	LEASINVEST-SICAFI
LOTB	LOTUS BAKERIES
MDXH	MDXHEALTH
MELE	MELEXIS (D)
MIKO	MIKO
MOBB	MOBISTAR
MONT	MONTEA C.V.A.
NYR	NYRSTAR (D)
OPTI	OPTION (D)
PARD	PAIRI DAIZA
PIC	PICANOL
QFG	QUESTFOR GR-PRICAF
RCUS	ARSEUS (D)
REC	RECTICEL
RES	RESILUX
RET	RETAIL EST.-SICAFI
RHJI	RHJ INTERNATIONAL
ROU	ROULARTA
RTL	RTL GROUP
SAB	SABCA (D)
SAP	SAPEC
SIOE	SIOEN
SIP	SIPEF (D)
SOF	SOFINA
SOFT	SOFTIMAT
SOLB	SOLVAY
SOLV	SOLVAC NOM(RETAIL)
SPA	SPADEL
TERB	TER BEKE
TESB	TESSENDERLO
TEXF	TEXAF
THR	THROMBOGENICS
TIG	TIGENIX (D)
TNET	TELENET GROUP
TUB	TUBIZE-FIN
UCB	UCB
UMI	UMICORE (D)
VAN	VAN DE VELDE
VGP	VGP
WDP	WDP-SICAFI
WEB	WAREHOUSES-SICAFI
WEHB	WERELDHAV B-SICAFI
ZENT	ZENITEL
ZTS	ZETES INDUSTRIES
