Symbol	Description
A01	Agriculture & Fishing Index
A02	Mining Index
A03	Forestry Index
A04	Building Index
A06	Food Index
A07	Textiles & Apparel Index
A08	Intermed & Durables Index
A10	Transport Index
A11	Ports Index
A12	Leisure & Tourism Index
A13	Consumer Index
A14	Media & Comms Index
A15	Finance & Other Services Index
A99	All Index
ABA	Abano Healthcare Group
ACY	Acurity Health Group Limited Ordinary Shares
AFI	Australian Foundation Investment
AIA	Auckland International Airport
AIA070	AIA 09/11/15 % - Auckland International Airport Ltd
AIA080	AIA 15/11/16 8.00% - Auckland International Airport Ltd
AIA100	AIA 27/11/14 7.00% - Auckland International Airport Ltd
AIA110	AIA 17/10/17 5.47% - Auckland International Airport Ltd
AIA120	
AIR	Air New Zealand
AIR010	AIR 15/11/2016 6.90% - Air New Zealand Ltd
AKC020	AKC 24/03/15 6.28% - Auckland Council
AKC040	AKC 15/09/2015 6.90% - Auckland Council
AKC050	AKC 29/09/2017 6.52% - Auckland Council
AKC060	
ALF	Allied Farmers
AMP	AMP
ANBHA	ANB 00/00/00  0.00% ANZ NATIONAL BANK Perpetual Bond
ANZ	Australia and NZ Banking Group
AOR	Aorere Resources Limited Ordinary Shares
AORWA	
APN	APN News & Media
ARG	Argosy Property Trust Units
ASBPA	ASB Capital Preference
ASBPB	ASB Capital No. Preference
ATM	A2 Corporation
ATR	Asian Total Return Investment Company plc
AUG	Augusta Capital Limited
AWF	Allied Work Force Group
AWK	Airwork Holdings Limited
AXAS	NZAX All Index
AXG	Antipodes Gold
BFW	Burger Fuel Worldwide
BGR	Briscoe Group
BIT	The Bankers Investment Trust Plc Units
BLT	BLIS Technology
BRL	Bathurst Resources Limited
BRM	Barramundi
CASHA	CASHA Perpetual Deeply Subordinated Notes
CAV	Cavalier Corporation
CBAFA	CBA 15/04/15 7.71% CBA Capital Australia
CDI	CDL Investments
CEN	Contact Energy
CGF	Cooks Global Foods Limited
CMO	Colonial Motor Company
CNU	Chorus Limited
CRP	Chatham Rock Phosphate Limited Ordinary Shares
CRPOB	
CVT	Comvita
DGL	Delegat's Group
DIL	Diligent Board Member Services INC
DNZ	DNZ Property Fund
DOW	Downer EDI
DPC	Dorchester Pacific
EBO	Ebos Group
ERD	EROAD Limited Ordinary Shares
EUT	Foreign & Colonial Eurotrust Plc
FBI060	FBI 15/05/2016 9.00% Fletcher Building Industries Ltd
FBI070	FBI 15/05/2016 7.75% Fletcher Building Industries Ltd
FBI090	FBI 15/03/15 8.50% Fletcher Building Industries
FBI100	FBI 15/03/17 7.50% Fletcher Building Industries
FBI110	
FBI120	
FBU	Fletcher Building
FCG	Fonterra Co-operative Group Limited Shares
FCG010	FCG 10/03/15 7.75% - Fonterra Co-operative Group
FCG020	FCG 04/03/16 6.83% - Fonterra Co-operative Group
FCGHA	FCG 00/00/00 7.0% Fonterra Co-operative
FCT	Foreign & Colonial Investment Trust Units
FFW	Foley Family Wines Limited Ordinary Shares
FIN	Finzsoft Solutions Ltd
