Symbol	Description
AB	AB SCIENCE
ABCA	ABC ARBITRAGE
AC	ACCOR
ACA	CREDIT AGRICOLE
ACAN	ACANTHE DEV.
ADI	AUDIKA GROUPE
ADP	ADP
ADVI	ADVINI
AF	AIR FRANCE -KLM
AFO	AFONE
AGTA	AGTA RECORD
AI	AIR LIQUIDE
AIR	Airbus Group
AKA	AKKA TECHNOLOGIES
AKE	ARKEMA
ALA2M	A2MICILE EUROPE
ALACI	ACCES INDUSTRIE
ALADA	ADA
ALADM	ADTHINK MEDIA
ALADO	ADOMOS
ALAGR	AGROGENERATION
ALALO	ACHETER-LOUER.FR
ALANT	ANTEVENIO
ALAST	ASTELLIA
ALAUP	AUPLATA
ALBDM	BD MULTI MEDIA
ALBFR	SIDETRADE
ALBIO	BIOSYNEX EUR0.10
ALBRI	BRICORAMA
ALBUD	BUDGET TELECOM
ALCAR	CARMAT
ALCLA	CLASQUIN
ALCLS	CELLECTIS
ALDAR	DAMARTEX
ALDBL	BERNARD LOISEAU
ALDEI	DEINOVE
ALDLS	D.L.S.I.
ALDMO	DEMOS
ALDV	ADC SIIC
ALEHT	EXONHIT
ALENT	ENTREPARTICULIERS
ALESK	ESKER
ALFBA	FASHION B AIR
ALFPC	FOUNTAINE PAJOT
ALGAU	GAUSSIN
ALGBE	GLOBAL BIOENERGIES EUR0.05
ALGCM	GROUPE CONCOURSMANIA EUR0.20
ALGEM	EUROGERM
ALGEN	GENOWAY
ALGIL	GROUPE GUILLIN
ALGUI	LEGUIDE.COM
ALHEO	H2O INNOVATION INC
ALHIT	HITECHPROS
ALHOL	HOLOSFIND
ALHOM	HOMAIR
ALHPC	HEURTEY PETROCHEM
ALHYG	HYBRIGENICS
ALI2S	I2S
ALIDS	IDSUD
ALIMO	GROUPIMO
ALINN	MILLET INNOVATION
ALINT	INTEGRAGEN
ALIPS	IPSOGEN
ALKEY	KEYYO
ALLOG	LOGIC INSTRUMENT
ALMAS	MASTRAD
ALMDG	MGI DIGITAL GRAPHI
ALMDT	MEDIANTECHNOLOGIES
ALMED	MEDICREA INTERNAT.
ALMGI	MG INTERNATIONAL
ALMIC	MICROWAVE VISION
ALMIL	1000MERCIS
ALNBT	NETBOOSTER
ALNEV	NEOVACS
ALNEX	NEXEYA
ALO	ALSTOM
ALOBR	OBER
ALOCT	OCTO TECHNOLOGY
ALODI	O2I
ALORO	OROLIA
ALP	ADL PARTNER
ALPDX	PISCINES DESJOYAUX
