Symbol	Description
AAA	Allana Potash Corp
AAB	Aberdeen International I
AAR.UN	Pure Industrial Real Est
AAV	Advantage Oil & Gas Ltd.
AAV.DB.H	Advantage Oil and Gas 5.
ABK.A	Allbanc Split Corp Class
ABK.PR.C	Allbanc Split Corp Pref
ABT	Absolute Software Corp.
ABX	Barrick Gold Corporation
AC	Air Canada
AC.A	Air Canada Cl.A
AC.B	Air Canada Cl.B
ACC	Amica Mature
ACD	Accord Financial
ACO.X	Atco Ltd. Cl.I Nv
ACO.Y	Atco Ltd Cl II
ACQ	Autocanada Inc
ACR.UN	Agellan Commercial REIT
ACZ.UN	American Core Sectors Di
AD	Alaris Royalty Corp.
ADC.UN	Canadian Advantaged Conv
ADN	Acadian Timber Corp
ADV	Alderon Iron Ore Corp
ADW.A	Andrew Peller Limited C
ADW.B	Andrew Peller Limited C
AEI	Arsenal Energy Inc.
AEM	Agnico Eagle Mines Limit
AET.DB	Argent Energy Trust 6.00
AET.DB.A	Argent Energy Trust 6.50
AET.UN	Argent Energy Trust
AEU.UN	Activenergy Income Fund
AEZ	Aeterna Zentaris Inc.
AF	Alarmforce J
AFN	Ag Growth International
AFN.DB.A	Ag Growth Intl Inc 5.25
AGF.B	Agf Management Ltd. Cl.
AGI	Alamos Gold Inc.
AGI.WT	Alamos Gold Inc Warrants
AGT	Agt Food and Ingredients
AGU	Agrium Inc
AHF	Aston Hill Financial Inc
AHF.DB	Aston Hill Financial Inc
AHY.UN	Advantaged CDN High Yiel
AI	Atrium Mortgage Investme
AI.DB	Atrium Mortgage Inv Corp
AI.DB.A	Atrium Mortgage Inv Corp
AI.DB.B	Atrium Mortgage Inv Corp
AIF	Altus Group Limited
AIF.DB.A	Altus Group Ltd 6.75 Pct
AIM	Aimia Inc
AIM.PR.A	Aimia Inc Pref Series 1
AIM.PR.C	Aimia Inc Pref Series 3
AJX	Agjunction Inc
AKG	Asanko Gold Inc
AKT.A	Akita Drilling Ltd. Cl.
AKT.B	Akita Cl B
ALA	Altagas Ltd.
ALA.PR.A	Altagas Ltd. Pref A
ALA.PR.E	Altagas Ltd Pref Series
ALA.PR.G	Altagas Ltd Pref G
ALA.PR.U	Altagas Ltd Pref Series
ALB	Allbanc Split Banc Corp
ALB.PR.B	Allbanc Split Corp II Pr
ALC	Algoma Central
ALC.DB	Algoma Central Corp 6 PC
ALS	Altius Minerals Corporat
AM	Automodular Corporation
AMF	Amorfix Life Science Ltd
AMM	Almaden Minerals Ltd.
ANS	Ainsworth Lumber Co Ltd
ANV	Allied Nevada Gold Corp.
ANX	Anaconda Mining Inc.
AOG.UN	Aston Hill Adv Oil and G
AOI	Africa Oil Corp
AP.UN	Allied Properties Real E
APS	Aptose Biosciences Inc
APY	Anglo Pacific Group Plc
AQA	Aquila Resources Inc.
AQN	Algonquin Power and Util
AQN.PR.A	Algonquin Power and Util
AQN.PR.D	Algonquin Power and Util
AR	Argonaut Gold Inc.
ARE	Aecon Group Inc
ARE.DB.A	Aecon Group Inc 6.25 Pct
ARE.DB.B	Aecon Group Inc 5.50 Pct
ARF	Armtec Infrastructure In
ARF.DB	Armtec Infrastructure In
ARG	Amerigo Resources Ltd.
ARL	Africo Resources Ltd.
ARX	Arc Resources Ltd.
ASR	Alacer Gold Corp
ATA	Ats Automation
ATD.A	Alimentation Couche-Tard
ATD.B	Alimentation Couche-Tard
ATH	Athabasca Oil Corp
ATL	Atlatsa Resources Corpor
ATN	Atna Res J
ATP	Atlantic Power Corp.
ATP.DB	Atlantic Power Corp. 6.5
ATP.DB.A	Atlantic Power Corp. 6.2
ATP.DB.B	Atlantic Power Corp 5.60
ATP.DB.D	Atlantic Power Corp 6.00
ATP.DB.U	Atlantic Power Corp 5.75
AUE	Aureus Mining Inc
AUF.UN	Artemis US Capital Appre
AUI.UN	Australian Banc Income F
AUM	Golden Minerals Company
AUP	Aurinia Pharmaceuticals
AUQ	Aurico Gold Inc
AUZ.UN	Australian Banc Capital
AV.UN	Aston Hill Adv Vip Incom
AVK	Avnel Gold Mining Ltd.
AVL	Avalon Rare Metals Inc.
AVO	Avigilon Corporation
AVP	Avcorp Industries Inc.
AW.UN	A&W Revenue Royalties In
AX.DB.F	Artis REIT 6.00 Conv Deb
AX.DB.U	Artis REIT 5.75 Pct Debe
AX.PR.A	Artis REIT Pref Series A
AX.PR.E	Artis REIT Pref Ser E
AX.PR.G	Artis REIT Pref Series G
AX.PR.U	Artis REIT Pref Series C
AX.UN	Artis Real Estate Invest
AXF	First Asset All Cda Bond
AXL	Anderson Energy Ltd.
AXL.DB	Anderson Energy Ltd. 7.5
AXL.DB.B	Anderson Energy Ltd 7.25
AXR	Alexco Resource Corp.
AXX	Axia Netmedia J
AXY	Alterra Power Corp
AYA	Amaya Gaming Group Inc
AYA.DB.A	Amaya Gaming Group Inc 7
AYA.WT	Amaya Gaming Group Inc W
AYA.WT.A	Amaya Gaming Group Inc W
AZP.PR.A	Atlantic Power Pref Equi
AZP.PR.B	Atlantic Power Pref Equi
AZZ	Azarga Uranium Corp
BA	Bell Aliant Inc
BAA	Banro Corp.
BAB.UN	Build America Investment
BAD	Badger Daylighting Ltd.
BAF.PR.A	Bell Aliant Preferred Eq
BAF.PR.C	Bell Aliant Preferred Eq
BAF.PR.E	Bell Aliant Preferred Eq
BAM.A	Brookfield Asset Managem
BAM.PF.A	Brookfield Asset Mgmt In
BAM.PF.B	Brookfield Asset Mgmt In
BAM.PF.C	Brookfield Asset Mgmt In
BAM.PF.D	Brookfield Asset Mgmt In
BAM.PF.E	Brookfield Asset Mgmt Pr
BAM.PF.F	Brookfield Asset Mgmt In
BAM.PF.G	Brookfield Asset Mgmt In
BAM.PR.B	Brookfield Asset Mgmt In
BAM.PR.C	Brookfield Asset Mgmt In
BAM.PR.E	Brookfield Asset Mgmt In
BAM.PR.G	Brookfield Asset Mgmt In
BAM.PR.K	Brookfield Asset Mgmt In
BAM.PR.M	Brookfield Asset Mgmt In
BAM.PR.N	Brookfield Asset Mgmt Pr
BAM.PR.R	Brookfield Asset Mgmt Pr
BAM.PR.T	Brookfield Asset Mgmt Pr
BAM.PR.X	Brookfield Am Pref Ser 2
BAM.PR.Z	Brookfield Asset Mgmt In
BAN	Bannerman Resources Limi
BAR	Balmoral Resources Ltd
BB	Blackberry Limited
BBD.A	Bombardier Inc. Cl. A
BBD.B	Bombardier Inc. Cl. B
BBD.PR.B	Bombardier 2 Pr
BBD.PR.C	Bombardier Inc. Preferre
BBD.PR.D	Bombardier Inc. Preferre
BBL.A	Brampton Brick Ltd. Cl.
BBO	Big Bank Big Oil Split C
