Symbol,Denominated Currency,Exposure Currency,Schema Level 1,Schema Level 2,Schema Level 3,Schema Level 4
AGNC,USD,USD,Equity,Developed Market,North American Equity,US Equity
CROC,USD,AUD,Currency,Developed Market,Asia Pacific Currency,AUD/USD
DXJ,USD,USD,Equity,Developed Market,Asia Pacific Equity,Japan Equity
EEM,USD,EEM,Equity,Emerging Market,Emerging Market Equity,Emerging Market Equity
ERX,USD,USD,Equity,Developed Market,North American Equity,US Equity
ERY,USD,USD,Equity,Developed Market,North American Equity,US Equity
EUO,USD,EUR,Currency,Developed Market,European Currency,EUR/USD
EWI,USD,EUR,Equity,Developed Market,European Equity,Italy Equity
EWJ,USD,JPY,Equity,Developed Market,Asia Pacific Equity,Japan Equity
EWP,USD,EUR,Equity,Developed Market,European Equity,Spain Equity
EWU,USD,GBP,Equity,Developed Market,European Equity,UK Equity
EWW,USD,MXN,Equity,Emerging Market,Latin American Equity,Mexico Equity
EZA,USD,ZAR,Equity,Emerging Market,European Equity,South Africa Equity
FAS,USD,USD,Equity,Developed Market,European Equity,US Equity
FAZ,USD,USD,Equity,Developed Market,European Equity,US Equity
FEZ,USD,EUR,Equity,Developed Market,European Equity,European Equity
GLD,USD,USD,Commodities,Precious Metals,Commodities: Precious Metals,Gold
HEDJ,USD,USD,Equity,Developed Market,Asia Pacific Equity,Japan Equity
IEF,USD,USD,Equity,Developed Market,North American Equity,US Equity
JNK,USD,USD,Fixed Income,Other Fixed Income,High Yield Equity,US Equity
KORS,USD,USD,Equity,Developed Market,North American Equity,US Equity
MCHI,USD,CNY,Equity,Emerging Market,Asia Pacific Equity,China Equity
NORW,USD,NOK,Equity,Developed Market,European Equity,Norway Equity
PCLN,USD,USD,Equity,Developed Market,North American Equity,US Equity
SDS,USD,USD,Equity,Developed Market,North American Equity,US Equity
SJP3.L,USD,JPY,Currency,Developed Market,Asia Pacific Currency,JPY/USD
SPY,USD,USD,Equity,Developed Market,North American Equity,US Equity
SVXY,USD,USD,Equity,Developed Market,North American Equity,US Equity
TBT,USD,USD,Equity,Developed Market,North American Equity,US Equity
TLT,USD,USD,Equity,Developed Market,North American Equity,US Equity
TNA,USD,USD,Equity,Developed Market,North American Equity,US Equity
TVIX,USD,USD,Equity,Developed Market,North American Equity,US Equity
TZA,USD,USD,Equity,Developed Market,North American Equity,US Equity
UNG,USD,USD,Commodities,Energy,Commodities: Energy,Natural Gas
USO,USD,USD,Commodities,Energy,Commodities: Energy,Oil
UWTI,USD,USD,Commodities,Energy,Commodities: Energy,Oil
VGK,USD,EUR,Equity,Developed Market,European Equity,UK Equity
VXX,USD,USD,Equity,Developed Market,North American Equity,US Equity
XIV,USD,USD,Equity,Developed Market,North American Equity,US Equity
XLE,USD,USD,Equity,Developed Market,North American Equity,US Equity
