Symbol,Asset Class,Data Source,ID,Underlier ID,Underlier Is Proxy,Leverage,Underlier Type,Include Noise,Name
EUO,ETF,Yahoo,EUO,USD/EUR,0,2,Currency,1,ProShares UltraShort Euro
CROC,ETF,Yahoo,CROC,USD/AUD,0,2,Currency,1,ProShares UltraShort Australian Dollar
SJP3.L,ETF,Yahoo,SJP3.L,USD/JPY,0,3,Currency,1,ETFS 3x Short JPY Long USD
SDS,ETF,Yahoo,SDS,^GSPC,0,-2,Index,1,ProShares UltraShort S&P 500
SPY,ETF,Yahoo,SPY,^GSPC,0,1,,,SPDR S&P500
TNA,ETF,Yahoo,TNA,^RUT,0,3,Index,1,Direxion Small Cap Bull 3X
TZA,ETF,Yahoo,TZA,^RUT,0,-3,Index,1,Direxion Small Cap Bear 3X
GLD,ETF,Yahoo,GLD,GLD,0,1,ETF,1,SPDR Gold Shares
AGQ,ETF,Yahoo,AGQ,SLV,1,-2,ETF,1,ProShares Ultra Silver
SLV,ETF,Yahoo,SLV,SLV,0,1,ETF,1,iShares Silver Trust
ZSL,ETF,Yahoo,ZSL,SLV,1,2,ETF,1,ProShares UltraShort Silver
SVXY,ETF,Yahoo,SVXY,VXX,0,-1,Futures,0,ProShares Short VIX Short-Term Futures ETF
TVIX,ETF,Yahoo,TVIX,VXX,0,2,Futures,0,VelocityShares Daily 2x VIX Short-term ETN
UVXY,ETF,Yahoo,UVXY,VXX,0,2,Futures,0,ProShares Ultra VIX Short-Term Futures
VXX,ETF,Yahoo,VXX,VXX,0,1,Futures,0,iPath S&P 500 VIX Short-term Futures ETN
XIV,ETF,Yahoo,XIV,VXX,0,-1,Futures,0,VelocityShares Daily Inverse VIX Short-term ETN
XLB,ETF,Yahoo,XLB,XLB,0,1,ETF,1,SPDR Materials
ERX,ETF,Yahoo,ERX,XLE,1,3,Index,1,Direxion Energy Bull 3X
ERY,ETF,Yahoo,ERY,XLE,1,-3,Index,1,Direxion Energy Bear 3X
XLE,ETF,Yahoo,XLE,XLE,0,1,ETF,1,SPDR Energy
FAS,ETF,Yahoo,FAS,XLF,1,3,Index,1,Direxion Financials Bull 3X
FAZ,ETF,Yahoo,FAZ,XLF,1,-3,Index,1,Direxion Financials Bear 3X
XLF,ETF,Yahoo,XLF,XLF,0,1,ETF,1,SPDR Financials
XLI,ETF,Yahoo,XLI,XLI,0,1,ETF,1,SPDR Industrials
XLK,ETF,Yahoo,XLK,XLK,0,1,ETF,1,SPDR Technology
XLP,ETF,Yahoo,XLP,XLP,0,1,ETF,1,SPDR Consumer Stables
XLU,ETF,Yahoo,XLU,XLU,0,1,ETF,1,SPDR Utilities
XLV,ETF,Yahoo,XLV,XLV,0,1,ETF,1,SPDR Health Care
XLY,ETF,Yahoo,XLY,XLY,0,1,ETF,1,SPDR Consumer Discretionary
GSPC,Index,Yahoo,^GSPC,,,1,,,S&P 500
RUT,Index,Yahoo,^RUT,,,1,,,Russell 2000
UWTI,ETF,Yahoo,UWTI,USO,0,3,ETF,1,VelocityShares 3x Long Crude Oil ETN
