Currency,Symbol,FRED Symbol,Description,Decimals
ARS,USD/ARS,FXRATEARA618NUPN,Exchange Rate to U.S. Dollar for Argentina,4
AUD,AUD/USD,DEXUSAL,U.S. / Australia Foreign Exchange Rate,4
BRL,USD/BRL,DEXBZUS,Brazil / U.S. Foreign Exchange Rate,2
CAD,USD/CAD,DEXCAUS,Canada / U.S. Foreign Exchange Rate,4
CHF,USD/CHF,DEXSZUS,Switzerland / U.S. Foreign Exchange Rate,4
CLP,USD/CLP,FXRATECLA618NUPN,Exchange Rate to U.S. Dollar for Chile,2
CNY,USD/CNY,DEXCHUS,China / U.S. Foreign Exchange Rate,4
COP,USD/COP,FXRATECOA618NUPN,Exchange Rate to U.S. Dollar for Colombia,2
DKK,USD/DKK,DEXDNUS,Denmark / U.S. Foreign Exchange Rate,4
EUR,EUR/USD,DEXUSEU,U.S. / Euro Foreign Exchange Rate,4
GBP,GBP/USD,DEXUSUK,U.S. / U.K. Foreign Exchange Rate,4
HKD,USD/HKD,DEXHKUS,Hong Kong / U.S. Foreign Exchange Rate,4
IDR,USD/IDR,FXRATEIDA618NUPN,Exchange Rate to U.S. Dollar for Indonesia,2
INR,USD/INR,DEXINUS,India / U.S. Foreign Exchange Rate,2
JPY,USD/JPY,DEXJPUS,Japan / U.S. Foreign Exchange Rate,2
KRW,USD/KRW,DEXKOUS,South Korea / U.S. Foreign Exchange Rate,2
LKR,USD/LKR,DEXSLUS,Sri Lanka / U.S. Foreign Exchange Rate,4
MXN,USD/MXN,DEXMXUS,Mexico / U.S. Foreign Exchange Rate,2
MYR,USD/MYR,DEXMAUS,Malaysia / U.S. Foreign Exchange Rate,2
NOK,USD/NOK,DEXNOUS,Norway / U.S. Foreign Exchange Rate,4
NPR,USD/NPR,FXRATENPA618NUPN,Exchange Rate to U.S. Dollar for Nepal,4
NZD,NZD/USD,DEXUSNZ,U.S. / New Zealand Foreign Exchange Rate,4
PEN,USD/PEN,FXRATEPEA618NUPN,Exchange Rate to U.S. Dollar for Peru,4
PHP,USD/PHP,FXRATEPHA618NUPN,Exchange Rate to U.S. Dollar for Philippines,4
PKR,USD/PKR,FXRATEPKA618NUPN,Exchange Rate to U.S. Dollar for Pakistan,4
PLN,USD/PLN,FXRATEPLA618NUPN,Exchange Rate to U.S. Dollar for Poland,4
RUB,USD/RUB,FXRATERUA618NUPN,Exchange Rate to U.S. Dollar for Russia,4
SEK,USD/SEK,DEXSDUS,Sweden / U.S. Foreign Exchange Rate,4
SGD,USD/SGD,DEXSIUS,Singapore / U.S. Foreign Exchange Rate,4
THB,USD/THB,DEXTHUS,Thailand / U.S. Foreign Exchange Rate,2
TRY,USD/TRY,FXRATETRA618NUPN,Exchange Rate to U.S. Dollar for Turkey,4
TWD,USD/TWD,DEXTAUS,Taiwan / U.S. Foreign Exchange Rate,2
VEF,USD/VEF,DEXVZUS,Venezuela / U.S. Foreign Exchange Rate,2
VND,USD/VND,FXRATEVNA618NUPN,Exchange Rate to U.S. Dollar for Vietnam,4
ZAR,USD/ZAR,DEXSFUS,South Africa / U.S. Foreign Exchange Rate,4
