Symbol	Name	Data Source	Code
^STOXX50E	Eurostoxx 50	Yahoo	
^GDAXI	DAX	Yahoo	
^FCHI	CAC 40	Yahoo	
^IBEX	IBEX	Yahoo	
FTSEMIB.MI	FTSE MIB	Yahoo	
^FTSE	FTSE 100	Yahoo	
^HIS	Hang Seng	Yahoo	
^TA100	Tel Aviv 100	Yahoo	
^SPBMI	S&P US BMI	SP	5457835
^GSPC	S&P 500	wikipedia	340
^SPREIT	S&P US REIT	SP	5552915
^SPCMI	S&P Completion Index	SP	2750
^SPTMI	S&P TMI	SP	2762
^SPSUPX	S&P 1500	SP	1636
^SPMIDSM	S&P 1000	SP	1608
^SP500-25	S&P 500 Consumer Discretionary	SP	139
^SP500-30	S&P 500 Consumer Staples	SP	213
^SP500-10	S&P 500 Energy	SP	25
^SP500-40	S&P 500 Financials	SP	279
^SP500-35	S&P 500 Healthcare	SP	253
^SP500-20	S&P 500 Industrials	SP	81
^SP500-45	S&P 500 Information Technology	SP	307
^SP500V	S&P 500 Value	SP	2034
^GSPC	S&P 500	Wikipedia	
