FAS,FAZ,
TNA,TZA,
ERX,ERY,
AGQ,ZSL,31.80%
BIB,BIS,3.70%
DDM,DXD,9.00%
DIG,DUG,18.80%
EET,EEV,7.70%
EFO,EFU,8.00%
EZJ,EWV,6.60%
LTL,TLL,16.20%
MVV,MZZ,8.50%
QLD,QID,10.20%
ROM,REW,7.90%
RXL,RXD,5.20%
SAA,SDD,10.40%
SSO,SDS,9.60%
TQQQ,SQQQ,3.00%
UBR,BZQ,1.10%
UBT,TBT,4.80%
UCC,SCC,7.30%
UCD,CMD,6.50%
UCO,SCO,5.70%
UDOW,SDOW,5.30%
UGE,SZK,5.60%
UGL,GLL,8.10%
UKF,SFK,7.60%
UKK,SKK,12.80%
UKW,SDK,7.90%
UMDD,SMDD,5.90%
UMX,SMK,5.80%
UPRO,SPXU,4.50%
UPV,EPV,17.00%
UPW,SDP,13.80%
URE,SRS,51.80%
URTY,SRTY,13.90%
USD,SSG,10.20%
UST,PST,3.80%
UVG,SJF,10.70%
UVT,SJH,14.70%
UVU,SJL,20.10%
UWC,TWQ,2.50%
UWM,TWM,12.60%
UXI,SIJ,5.90%
UXJ,JPX,4.70%
UYG,SKF,30.80%
UYM,SMN,11.00%
XPP,FXP,7.10%
