Transaction Type,Transaction Date,Quantity,Symbol,Description,Activity Class,Trade Price,Settlement Amount,Settlement Ccy,Trade Name
Deposit,11/21/11,120000,USDCash,USD Cash,Other,1,120000,USD,USDCash
Short Sale,11/22/11,250,TNA,DIREXION ETF TRUST SMALL CAP BULL 3X SHARES ETF,Shares Sold,38.7,9662.31,USD,TNATZA
Short Sale,11/22/11,278,TZA,DIREXION SHARES ETF TRUST SMALL CAP BEAR 3X SHARES ,Shares Sold,34.84,9671.43,USD,TNATZA
Short Sale,11/28/11,250,ERX,DIREXION ETF TRUST ENERGY BULL 3X SHARES,Shares Sold,39.77,9929.3,USD,ERXERY
Short Sale,11/28/11,700,ERY,DIREXION DAILY ENERGY BEAR 3X ETF ,Shares Sold,14.6,10181.79,USD,ERXERY
Short Sale,11/28/11,200,FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES,Shares Sold,52.59,10506.79,USD,FASFAZ
Short Sale,11/28/11,200,FAZ,DIREXION DAILY FINANCIAL BEAR 3X SHARES ETF,Shares Sold,50.59,10106.8,USD,FASFAZ
Short Sale,12/8/11,215,ERX,DIREXION ETF TRUST ENERGY BULL 3X SHARES,Shares Sold,46.01,9881.21,USD,ERXERY
Short Sale,12/8/11,830,ERY,DIREXION DAILY ENERGY BEAR 3X ETF ,Shares Sold,12.09,9995.99,USD,ERXERY
Short Sale,12/8/11,160,FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES,Shares Sold,62.37,9971,USD,FASFAZ
Short Sale,12/8/11,250,FAZ,DIREXION DAILY FINANCIAL BEAR 3X SHARES ETF,Shares Sold,40.48,10107.3,USD,FASFAZ
Short Sale,12/8/11,230,TNA,DIREXION ETF TRUST SMALL CAP BULL 3X SHARES ETF,Shares Sold,43.13,9909.19,USD,TNATZA
Short Sale,12/8/11,345,TZA,DIREXION SHARES ETF TRUST SMALL CAP BEAR 3X SHARES ,Shares Sold,29.08,10015.15,USD,TNATZA
Purchase to Cover,12/13/11,130,ERX,DIREXION ETF TRUST ENERGY BULL 3X SHARES,Shares Purchased,46.56,6059.6,USD,ERXERY
Purchase to Cover,12/13/11,220,ERY,DIREXION DAILY ENERGY BEAR 3X ETF ,Shares Purchased,11.82,2611.4,USD,ERXERY
Purchase to Cover,1/10/12,80,ERX,DIREXION ETF TRUST ENERGY BULL 3X SHARES,Shares Purchased,51.79,4147,USD,ERXERY
Purchase to Cover,1/10/12,130,FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES,Shares Purchased,73.03,9500.4,USD,FASFAZ
Purchase to Cover,1/10/12,170,TNA,DIREXION ETF TRUST SMALL CAP BULL 3X SHARES ETF,Shares Purchased,48.92,8324.9,USD,TNATZA
Short Sale,1/25/12,800,SDS,PROSHARES ULTRASHORT S&P500 ETF ,Shares Sold,17.43,13903.73,USD,SDS
Open Buy,1/25/12,5,SPY120616P00115000_20120125,PUT/SPY @ 115 EXP 06/16/2012,Securities Purchased,2.3,1170,USD,SDSHedge
Purchase to Cover,2/1/12,90,FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES,Shares Purchased,83.98,7562.7,USD,FASFAZ
Purchase to Cover,2/1/12,80,TNA,DIREXION ETF TRUST SMALL CAP BULL 3X SHARES ETF,Shares Purchased,58.02,4645.6,USD,TNATZA
Purchase to Cover,2/21/12,50,ERX,DIREXION ETF TRUST ENERGY BULL 3X SHARES,Shares Purchased,58.62,2933.5,USD,ERXERY
Purchase to Cover,2/21/12,50,TNA,DIREXION ETF TRUST SMALL CAP BULL 3X SHARES ETF,Shares Purchased,62.76,3140.5,USD,TNATZA
Short Sale,2/21/12,10,TVIX,VELOCITYSHARES DAILY 2X VIX SH CMN,Shares Sold,169.5,1689.96,USD,TVIX
Purchase to Cover,3/15/12,30,FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES,Shares Purchased,107.5,3226.5,USD,FASFAZ
Close Sell,3/22/12,5,SPY120616P00115000_20120125,PUT/SPY @ 115 EXP 06/16/2012,Securities Sold,0.6,285,USD,SDSHedge
Buy,3/26/12,200,AGNC,AMERICAN CAPITAL AGENCY CORP. CMN,Shares Purchased,29.52,5914,USD,AGNC
Purchase to Cover,3/26/12,30,FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES,Shares Purchased,111.94,3359.7,USD,FASFAZ
Short Sale,3/27/12,1000,VXX,IPATH S&P 500 VIX SHORT-TERM FUTURES ETN,Shares Sold,16.93,16879.69,USD,ShortVXX
Open Buy,3/27/12,4,VXX140118P00010000_20120327,PUT/VXX @ 10 EXP 01/18/2014,Securities Purchased,2.4,976,USD,VXXPutBuy
Open Buy,3/28/12,4,VXX140118P00010000_20120327,PUT/VXX @ 10 EXP 01/18/2014,Securities Purchased,2.3,936,USD,VXXPutBuy
Deposit,5/29/12,20000,USDCash,USD Cash,Other,1,20000,USD,USDCash
Open Sell,6/7/12,10,VXX120721P00017000_20120607,PUT/VXX @ 17 EXP 07/21/2012,Securities Sold,1.1,1069.97,USD,VXXPutWrite
Short Sale,7/5/12,1000,VXX,IPATH S&P 500 VIX SHORT-TERM FUTURES ETN,Shares Sold,14.27,14219.68,USD,ShortVXX
Short Sale,7/5/12,600,TZA,DIREXION SHARES ETF TRUST SMALL CAP BEAR 3X SHARES ,Shares Sold,16.92,10122.25,USD,TNATZA
Open Sell,7/17/12,20,VXX120818P00011000_20120717,PUT/VXX @ 11 EXP 08/18/2012,Securities Sold,0.24,399.98,USD,VXXPutWrite
Close Buy,7/20/12,10,VXX120721P00017000_20120607,PUT/VXX @ 17 EXP 07/21/2012,Securities Purchased,4.2,4240,USD,VXXPutWrite
Short Sale,8/10/12,1000,VXX,IPATH S&P 500 VIX SHORT-TERM FUTURES ETN,Shares Sold,11.61,11559.73,USD,ShortVXX
Close Buy,8/17/12,20,VXX120818P00011000_20120717,PUT/VXX @ 11 EXP 08/18/2012,Securities Purchased,0,0,USD,VXXPutWrite
Open Sell,9/6/12,30,VXX121020P00009000_20120906,PUT/VXX @ 9 EXP 10/20/2012,Securities Sold,0.37,1019.97,USD,VXXPutWrite
Short Sale,10/12/12,690,ERY,DIREXION DAILY ENERGY BEAR 3X ETF ,Shares Sold,7.77,5326.67,USD,ERXERY
Short Sale,10/12/12,20,FAS,DIREXION DAILY FINANCIAL BULL 3X SHARES,Shares Sold,111.41,2227.15,USD,FASFAZ
Short Sale,10/12/12,550,FAZ,DIREXION DAILY FINANCIAL BEAR 3X SHARES ETF,Shares Sold,17.16,9410.26,USD,FASFAZ
Close Buy,10/18/12,30,VXX121020P00009000_20120906,PUT/VXX @ 36 EXP 10/20/2012,Shares Purchased,0.8,2520,USD,VXXPutWrite
Deposit,12/19/12,6270,USDCash,USD Cash,Other,1,6270,USD,USDCash
